Label,Notation,Parent Notation,Sort Priority
Manufacture of other basic metals & casting (excl. Nuclear fuel & Aluminium),http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/24-4-5-not-24-42-nor-24-46,http://business.data.gov.uk/companies/def/sic-2007/C,67
Aluminium production,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/24-42,http://business.data.gov.uk/companies/def/sic-2007/C,68
Processing of nuclear fuel,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/24-46,http://business.data.gov.uk/companies/def/sic-2007/C,69
"Fabricated metal products, except machinery and equipment, excluding weapons and ammunition",http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/25-1-3-25-5-9,http://business.data.gov.uk/companies/def/sic-2007/C,70
Manufacture of weapons and ammunition,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/25-4,http://business.data.gov.uk/companies/def/sic-2007/C,71
"Computer, electronic, communication and optical products",http-//business-data-gov-uk/companies/def/sic-2007/26,http://business.data.gov.uk/companies/def/sic-2007/C,72
Electrical equipment,http-//business-data-gov-uk/companies/def/sic-2007/27,http://business.data.gov.uk/companies/def/sic-2007/C,73
Machinery and equipment n.e.c.,http-//business-data-gov-uk/companies/def/sic-2007/28,http://business.data.gov.uk/companies/def/sic-2007/C,74
"Motor vehicles, trailers and semi-trailers",http-//business-data-gov-uk/companies/def/sic-2007/29,http://business.data.gov.uk/companies/def/sic-2007/C,75
Building of ships and boats,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/30-1,http://business.data.gov.uk/companies/def/sic-2007/C,76
Manufacture of air and spacecraft and related machinery,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/30-3,http://business.data.gov.uk/companies/def/sic-2007/C,77
"Manufacture of other transport equipment, excluding ships, boats, air and spacecraft",http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/30-2-4-9,http://business.data.gov.uk/companies/def/sic-2007/C,78
Furniture,http-//business-data-gov-uk/companies/def/sic-2007/31,http://business.data.gov.uk/companies/def/sic-2007/C,79
Other manufactured goods,http-//business-data-gov-uk/companies/def/sic-2007/32,http://business.data.gov.uk/companies/def/sic-2007/C,80
