Country,Currency,Economic Indicators,Year,Value,Unit
united-kingdom,national-currency-nominal,other-cross-cutting-technologies/research,2013,57.601,million
united-kingdom,national-currency-nominal,unallocated,2013,0.0,million
united-kingdom,national-currency-nominal,total-budget,2013,405.674,million
united-kingdom,national-currency-2021-prices,energy-efficiency,2013,137.071,million
united-kingdom,national-currency-2021-prices,fossil-fuels,2013,41.963,million
united-kingdom,national-currency-2021-prices,renewables,2013,104.216,million
united-kingdom,national-currency-2021-prices,nuclear,2013,67.3,million
united-kingdom,national-currency-2021-prices,hydrogen-and-fuel-cells,2013,25.855,million
united-kingdom,national-currency-2021-prices,other-power-and-storage-technologies,2013,29.347,million
united-kingdom,national-currency-2021-prices,other-cross-cutting-technologies/research,2013,67.146,million
united-kingdom,national-currency-2021-prices,unallocated,2013,0.0,million
united-kingdom,national-currency-2021-prices,total-budget,2013,472.899,million
united-kingdom,national-currency-nominal,energy-efficiency,2014,62.52,million
united-kingdom,national-currency-nominal,fossil-fuels,2014,71.949,million
united-kingdom,national-currency-nominal,renewables,2014,69.358,million
united-kingdom,national-currency-nominal,nuclear,2014,55.292,million
united-kingdom,national-currency-nominal,hydrogen-and-fuel-cells,2014,12.351,million
united-kingdom,national-currency-nominal,other-power-and-storage-technologies,2014,29.608,million
united-kingdom,national-currency-nominal,other-cross-cutting-technologies/research,2014,43.479,million
united-kingdom,national-currency-nominal,unallocated,2014,0.0,million
united-kingdom,national-currency-nominal,total-budget,2014,344.557,million
united-kingdom,national-currency-2021-prices,energy-efficiency,2014,71.64,million
united-kingdom,national-currency-2021-prices,fossil-fuels,2014,82.444,million
united-kingdom,national-currency-2021-prices,renewables,2014,79.475,million
united-kingdom,national-currency-2021-prices,nuclear,2014,63.357,million
united-kingdom,national-currency-2021-prices,hydrogen-and-fuel-cells,2014,14.153,million
united-kingdom,national-currency-2021-prices,other-power-and-storage-technologies,2014,33.927,million
united-kingdom,national-currency-2021-prices,other-cross-cutting-technologies/research,2014,49.821,million
united-kingdom,national-currency-2021-prices,unallocated,2014,0.0,million
united-kingdom,national-currency-2021-prices,total-budget,2014,394.817,million
united-kingdom,national-currency-nominal,energy-efficiency,2015,78.486,million
united-kingdom,national-currency-nominal,fossil-fuels,2015,16.565,million
united-kingdom,national-currency-nominal,renewables,2015,69.534,million
united-kingdom,national-currency-nominal,nuclear,2015,124.613,million
united-kingdom,national-currency-nominal,hydrogen-and-fuel-cells,2015,13.004,million
united-kingdom,national-currency-nominal,other-power-and-storage-technologies,2015,38.813,million
united-kingdom,national-currency-nominal,other-cross-cutting-technologies/research,2015,28.952,million
united-kingdom,national-currency-nominal,unallocated,2015,8.636,million
united-kingdom,national-currency-nominal,total-budget,2015,378.602,million
united-kingdom,national-currency-2021-prices,energy-efficiency,2015,89.344,million
united-kingdom,national-currency-2021-prices,fossil-fuels,2015,18.857,million
united-kingdom,national-currency-2021-prices,renewables,2015,79.153,million
united-kingdom,national-currency-2021-prices,nuclear,2015,141.852,million
united-kingdom,national-currency-2021-prices,hydrogen-and-fuel-cells,2015,14.803,million
united-kingdom,national-currency-2021-prices,other-power-and-storage-technologies,2015,44.182,million
united-kingdom,national-currency-2021-prices,other-cross-cutting-technologies/research,2015,32.957,million
united-kingdom,national-currency-2021-prices,unallocated,2015,9.831,million
united-kingdom,national-currency-2021-prices,total-budget,2015,430.978,million
united-kingdom,national-currency-nominal,energy-efficiency,2016,105.935,million
united-kingdom,national-currency-nominal,fossil-fuels,2016,26.837,million
united-kingdom,national-currency-nominal,renewables,2016,122.788,million
united-kingdom,national-currency-nominal,nuclear,2016,117.573,million
united-kingdom,national-currency-nominal,hydrogen-and-fuel-cells,2016,13.466,million
united-kingdom,national-currency-nominal,other-power-and-storage-technologies,2016,55.397,million
united-kingdom,national-currency-nominal,other-cross-cutting-technologies/research,2016,42.574,million
united-kingdom,national-currency-nominal,unallocated,2016,0.0,million
united-kingdom,national-currency-nominal,total-budget,2016,484.569,million
united-kingdom,national-currency-2021-prices,energy-efficiency,2016,118.05,million
united-kingdom,national-currency-2021-prices,fossil-fuels,2016,29.906,million
united-kingdom,national-currency-2021-prices,renewables,2016,136.83,million
united-kingdom,national-currency-2021-prices,nuclear,2016,131.019,million
united-kingdom,national-currency-2021-prices,hydrogen-and-fuel-cells,2016,15.006,million
united-kingdom,national-currency-2021-prices,other-power-and-storage-technologies,2016,61.732,million
united-kingdom,national-currency-2021-prices,other-cross-cutting-technologies/research,2016,47.443,million
united-kingdom,national-currency-2021-prices,unallocated,2016,0.0,million
united-kingdom,national-currency-2021-prices,total-budget,2016,539.984,million
united-kingdom,national-currency-nominal,energy-efficiency,2017,175.72,million
united-kingdom,national-currency-nominal,fossil-fuels,2017,33.66,million
united-kingdom,national-currency-nominal,renewables,2017,101.39,million
united-kingdom,national-currency-nominal,nuclear,2017,157.12,million
united-kingdom,national-currency-nominal,hydrogen-and-fuel-cells,2017,10.69,million
united-kingdom,national-currency-nominal,other-power-and-storage-technologies,2017,71.44,million
united-kingdom,national-currency-nominal,other-cross-cutting-technologies/research,2017,66.94,million
united-kingdom,national-currency-nominal,unallocated,2017,37.28,million
united-kingdom,national-currency-nominal,total-budget,2017,654.24,million
united-kingdom,national-currency-2021-prices,energy-efficiency,2017,192.094,million
united-kingdom,national-currency-2021-prices,fossil-fuels,2017,36.796,million
united-kingdom,national-currency-2021-prices,renewables,2017,110.838,million
united-kingdom,national-currency-2021-prices,nuclear,2017,171.761,million
united-kingdom,national-currency-2021-prices,hydrogen-and-fuel-cells,2017,11.686,million
united-kingdom,national-currency-2021-prices,other-power-and-storage-technologies,2017,78.097,million
united-kingdom,national-currency-2021-prices,other-cross-cutting-technologies/research,2017,73.178,million
united-kingdom,national-currency-2021-prices,unallocated,2017,40.754,million
united-kingdom,national-currency-2021-prices,total-budget,2017,715.203,million
united-kingdom,national-currency-nominal,energy-efficiency,2018,198.627,million
united-kingdom,national-currency-nominal,fossil-fuels,2018,19.573,million
united-kingdom,national-currency-nominal,renewables,2018,126.056,million
united-kingdom,national-currency-nominal,nuclear,2018,200.476,million
united-kingdom,national-currency-nominal,hydrogen-and-fuel-cells,2018,17.835,million
united-kingdom,national-currency-nominal,other-power-and-storage-technologies,2018,61.347,million
united-kingdom,national-currency-nominal,other-cross-cutting-technologies/research,2018,114.7,million
united-kingdom,national-currency-nominal,unallocated,2018,2.377,million
united-kingdom,national-currency-nominal,total-budget,2018,740.99,million
united-kingdom,national-currency-2021-prices,energy-efficiency,2018,212.357,million
united-kingdom,national-currency-2021-prices,fossil-fuels,2018,20.926,million
united-kingdom,national-currency-2021-prices,renewables,2018,134.77,million
united-kingdom,national-currency-2021-prices,nuclear,2018,214.334,million
united-kingdom,national-currency-2021-prices,hydrogen-and-fuel-cells,2018,19.068,million
united-kingdom,national-currency-2021-prices,other-power-and-storage-technologies,2018,65.588,million
united-kingdom,national-currency-2021-prices,other-cross-cutting-technologies/research,2018,122.629,million
united-kingdom,national-currency-2021-prices,unallocated,2018,2.541,million
united-kingdom,national-currency-2021-prices,total-budget,2018,792.211,million
united-kingdom,national-currency-nominal,energy-efficiency,2019,194.941,million
united-kingdom,national-currency-nominal,fossil-fuels,2019,24.593,million
united-kingdom,national-currency-nominal,renewables,2019,113.064,million
united-kingdom,national-currency-nominal,nuclear,2019,231.915,million
united-kingdom,national-currency-nominal,hydrogen-and-fuel-cells,2019,30.368,million
united-kingdom,national-currency-nominal,other-power-and-storage-technologies,2019,56.944,million
united-kingdom,national-currency-nominal,other-cross-cutting-technologies/research,2019,164.524,million
united-kingdom,national-currency-nominal,unallocated,2019,1.536,million
united-kingdom,national-currency-nominal,total-budget,2019,817.883,million
united-kingdom,national-currency-2021-prices,energy-efficiency,2019,204.103,million
united-kingdom,national-currency-2021-prices,fossil-fuels,2019,25.749,million
united-kingdom,national-currency-2021-prices,renewables,2019,118.378,million
united-kingdom,national-currency-2021-prices,nuclear,2019,242.815,million
united-kingdom,national-currency-2021-prices,hydrogen-and-fuel-cells,2019,31.795,million
united-kingdom,national-currency-2021-prices,other-power-and-storage-technologies,2019,59.62,million
united-kingdom,national-currency-2021-prices,other-cross-cutting-technologies/research,2019,172.257,million
united-kingdom,national-currency-2021-prices,unallocated,2019,1.608,million
united-kingdom,national-currency-2021-prices,total-budget,2019,856.323,million
united-kingdom,national-currency-nominal,energy-efficiency,2020,246.719,million
united-kingdom,national-currency-nominal,fossil-fuels,2020,40.229,million
united-kingdom,national-currency-nominal,renewables,2020,112.855,million
united-kingdom,national-currency-nominal,nuclear,2020,317.893,million
united-kingdom,national-currency-nominal,hydrogen-and-fuel-cells,2020,38.397,million
united-kingdom,national-currency-nominal,other-power-and-storage-technologies,2020,78.479,million
united-kingdom,national-currency-nominal,other-cross-cutting-technologies/research,2020,72.627,million
united-kingdom,national-currency-nominal,unallocated,2020,25.54,million
united-kingdom,national-currency-nominal,total-budget,2020,932.741,million
united-kingdom,national-currency-2021-prices,energy-efficiency,2020,244.609,million
united-kingdom,national-currency-2021-prices,fossil-fuels,2020,39.885,million
united-kingdom,national-currency-2021-prices,renewables,2020,111.89,million
united-kingdom,national-currency-2021-prices,nuclear,2020,315.174,million
united-kingdom,national-currency-2021-prices,hydrogen-and-fuel-cells,2020,38.069,million
united-kingdom,national-currency-2021-prices,other-power-and-storage-technologies,2020,77.808,million
united-kingdom,national-currency-2021-prices,other-cross-cutting-technologies/research,2020,72.006,million
united-kingdom,national-currency-2021-prices,unallocated,2020,25.322,million
united-kingdom,national-currency-2021-prices,total-budget,2020,924.763,million
united-kingdom,national-currency-nominal,energy-efficiency,2021-estimated,..,million
united-kingdom,national-currency-nominal,fossil-fuels,2021-estimated,..,million
united-kingdom,national-currency-nominal,renewables,2021-estimated,..,million
united-kingdom,national-currency-nominal,nuclear,2021-estimated,..,million
united-kingdom,national-currency-nominal,hydrogen-and-fuel-cells,2021-estimated,..,million
united-kingdom,national-currency-nominal,other-power-and-storage-technologies,2021-estimated,..,million
united-kingdom,national-currency-nominal,other-cross-cutting-technologies/research,2021-estimated,..,million
united-kingdom,national-currency-nominal,unallocated,2021-estimated,..,million
united-kingdom,national-currency-nominal,total-budget,2021-estimated,..,million
united-kingdom,national-currency-2021-prices,energy-efficiency,2021-estimated,..,million
united-kingdom,national-currency-2021-prices,fossil-fuels,2021-estimated,..,million
united-kingdom,national-currency-2021-prices,renewables,2021-estimated,..,million
united-kingdom,national-currency-2021-prices,nuclear,2021-estimated,..,million
united-kingdom,national-currency-2021-prices,hydrogen-and-fuel-cells,2021-estimated,..,million
united-kingdom,national-currency-2021-prices,other-power-and-storage-technologies,2021-estimated,..,million
united-kingdom,national-currency-2021-prices,other-cross-cutting-technologies/research,2021-estimated,..,million
united-kingdom,national-currency-2021-prices,unallocated,2021-estimated,..,million
united-kingdom,national-currency-2021-prices,total-budget,2021-estimated,..,million
united-kingdom,national-currency-nominal,energy-efficiency,2022-estimated,..,million
united-kingdom,national-currency-nominal,fossil-fuels,2022-estimated,..,million
united-kingdom,national-currency-nominal,renewables,2022-estimated,..,million
united-kingdom,national-currency-nominal,nuclear,2022-estimated,..,million
united-kingdom,national-currency-nominal,hydrogen-and-fuel-cells,2022-estimated,..,million
united-kingdom,national-currency-nominal,other-power-and-storage-technologies,2022-estimated,..,million
united-kingdom,national-currency-nominal,other-cross-cutting-technologies/research,2022-estimated,..,million
united-kingdom,national-currency-nominal,unallocated,2022-estimated,..,million
united-kingdom,national-currency-nominal,total-budget,2022-estimated,..,million
united-kingdom,national-currency-2021-prices,energy-efficiency,2022-estimated,..,million
united-kingdom,national-currency-2021-prices,fossil-fuels,2022-estimated,..,million
united-kingdom,national-currency-2021-prices,renewables,2022-estimated,..,million
united-kingdom,national-currency-2021-prices,nuclear,2022-estimated,..,million
united-kingdom,national-currency-2021-prices,hydrogen-and-fuel-cells,2022-estimated,..,million
united-kingdom,national-currency-2021-prices,other-power-and-storage-technologies,2022-estimated,..,million
united-kingdom,national-currency-2021-prices,other-cross-cutting-technologies/research,2022-estimated,..,million
united-kingdom,national-currency-2021-prices,unallocated,2022-estimated,..,million
united-kingdom,national-currency-2021-prices,total-budget,2022-estimated,..,million
