Greenhouse Gas emissions - GHG - Ktonnes CO2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Food,Non-alcoholic beverages,Alcoholic beverages,Tobacco,Clothing,Footwear,Actual rentals for households,Imputed rentals for households,Maintenance and repair of the dwelling,Water supply and miscellaneous dwelling services,"Electricity, gas and other fuels","Furniture, furnishings, carpets etc",Household textiles,Household appliances,"Glassware, tableware and household utensils",Tools and equipment for house and garden,Goods and services for household maintenance,"Medical products, appliances and equipment",Hospital services,Purchase of vehicles,Operation of personal transport equipment,Transport services,Postal services,Telephone and telefax equipment,Telephone and telefax services,"Audio-visual, photo and info processing equipment",Other major durables for recreation and culture,Other recreational equipment etc,Recreational and cultural services,"Newspapers, books and stationery",Education,Restaurants and hotels,Miscellaneous goods and services,Total
,,FOO,DRI,ALC,TOB,CLO,SHO,ACR,IMR,DIY,WAT,ELG,FRN,TEX,APL,GLA,TOO,GOO,MED,HOS,VEH,OPP,TRS,PST,TEL,TES,AVI,MRC,ORC,RCS,NBS,EDU,R&H,MSC,Total
,1995,24371.35125,1990.857997,1758.882564,538.7231922,6475.68979,1295.837461,404.3368683,28.92137002,2878.805033,3938.804522,198915.6203,5880.682925,2913.68922,768.0007419,2220.789934,1177.61466,1454.830025,2578.353035,1632.114019,13182.72508,136364.822,38373.49652,618.0519846,68.1082042,2976.678459,3067.594605,1117.172582,8746.545784,6615.598793,2512.704611,2085.264249,17140.84073,17790.20056,511883.7091
,1996,27144.47369,2503.064691,2477.280686,449.1458713,8030.085145,1379.785866,330.4959734,21.62097777,3089.971061,4086.421761,213832.6379,6906.999134,3716.184679,846.0799015,3245.970457,1394.332424,1617.559105,2841.612404,1738.033571,14933.01673,96548.91449,38133.95161,628.1990553,80.31914454,3442.983406,3524.193142,1370.244602,9889.089392,6383.956555,2703.663983,2323.329278,17538.90462,18376.4912,501529.0125
,1997,28034.24356,2091.0376,1378.294107,535.6174048,10838.61079,1780.758205,6305.19144,10122.29174,2177.557142,2441.917609,184640.5282,8444.422604,4365.011807,1409.629219,4550.360881,1753.810095,1534.13145,4770.364223,1045.365974,18328.39822,111907.7228,46495.05956,752.8181853,113.0193722,3960.711336,4695.36402,1701.977494,11269.31168,5473.908234,2991.218981,2037.836668,30780.19281,23984.76708,542711.4505
,1998,28281.17676,2141.068026,1306.016318,577.6387736,11338.57427,1950.28467,7236.066152,10158.97819,2247.128516,2550.588415,183310.026,8471.472583,4453.343705,1447.329768,5121.623137,1971.862626,1717.604046,5277.251359,1146.402155,19792.58426,105259.2083,49913.78963,498.5855826,162.2417529,3915.169293,5247.701807,2073.439073,11536.22234,6469.930644,3077.164954,2013.086357,32001.91852,26237.1642,548902.6421
,1999,28853.92896,2343.659363,1186.08351,596.203639,11827.72758,1984.955831,7214.911981,9839.726499,2064.532076,2507.223214,186717.1795,9299.377589,4578.308648,1466.912257,5319.75014,2027.56206,1750.344453,5245.743999,1113.630141,20213.7314,113169.276,53973.84947,489.9907018,182.7055887,4053.534941,5625.233357,2524.150389,11648.34985,6753.983009,3170.464281,2101.688336,32787.94783,27898.34988,570531.0165
,2000,26844.68772,2336.292227,1126.347315,586.3231217,11309.30946,2118.47947,7376.309446,9430.517684,2254.956066,2463.844599,190394.0914,9760.157865,4554.54804,1386.503842,5327.366386,1947.162911,1856.241906,5422.971297,1020.010528,19951.55065,103970.515,54306.72783,381.9971549,207.4049803,3832.296045,5560.819266,2507.962452,12049.40427,6949.268579,3094.890578,2108.059505,33061.4171,27817.54655,563315.9813
,2001,26653.7206,2452.503272,1083.059574,502.4956478,11354.43539,2044.458519,7603.268905,8642.241575,2289.290327,2648.63954,200289.9276,9601.521562,4423.51674,1448.726831,5432.572962,2145.901539,1887.94886,6019.14782,1128.075425,21496.25472,102011.6592,58037.3795,447.1288788,225.290068,3593.464758,5749.475982,2730.401803,12182.68137,6944.572646,2834.282683,2168.965293,32986.55106,28028.85464,577088.4152
,2002,25364.48046,2210.483084,1027.993833,370.8852301,12369.02037,2136.751834,7683.748938,9156.681757,2213.055664,2256.902778,192857.902,9486.542988,4305.627477,1318.09625,5319.463149,2157.198935,1431.946175,6389.034619,1058.712245,19661.81624,100657.4074,63743.71546,329.0881532,221.8923874,3439.266117,5670.367544,2570.021088,12303.87944,6918.041263,2495.662613,2040.52082,32399.10784,25783.86908,567349.1832
,2003,24810.73918,2233.686153,1047.031307,354.0792176,11716.74991,2510.402254,7779.838151,9270.151381,2024.962721,2420.243026,191936.002,9438.370451,3858.708933,1220.553035,5301.95788,2226.347107,1341.484664,6601.266997,973.4502575,19012.04785,99837.13884,64528.66476,427.6394522,291.7366719,3853.935006,6355.357169,2749.375131,12179.51489,7095.718061,2558.097872,1922.552445,34994.03695,26977.66977,569849.5095
,2004,25742.58931,2353.32051,1048.468317,297.6287251,12441.47147,2404.747512,7637.23909,10594.14151,2750.787333,2599.574788,203822.972,9647.485448,3761.144539,1219.175498,5553.723172,2250.761328,1142.11494,6992.833132,1082.475877,20073.75673,101936.1828,67037.31042,464.8455684,265.1304171,3712.703902,7019.523393,3016.410783,12115.9542,7104.983634,2831.00947,1800.788477,33905.26261,28492.73861,593119.2556
,2005,26184.15881,2480.604986,943.0559389,250.8326906,12097.87523,2569.995029,7527.212866,11445.28649,2600.500978,2671.392456,198230.6447,9135.297244,3160.206756,1215.269228,5722.778682,2261.457099,1092.055438,6694.764914,1235.055461,18639.6297,102806.4813,70000.08825,401.7832338,275.6352155,3512.997656,7075.843452,3013.851599,11417.56777,7308.656204,2793.865269,1748.801063,33904.06651,28721.40376,589139.116
,2006,24671.55165,2243.155543,862.6307968,283.6886992,12953.34435,2976.118511,7798.561177,8294.175976,2426.087826,2689.678327,203654.9325,9329.321512,3261.421111,1145.823759,5550.606041,2553.955982,1023.715541,7075.350946,1230.29128,16190.57006,102213.4219,67616.60909,337.4198147,278.2926257,3583.624686,7084.510517,2811.319676,11529.95606,6960.7821,2740.207969,1895.713043,31591.75946,28785.41061,583644.0091
,2007,23692.52435,2099.983808,815.0335918,254.5581505,13101.88998,2761.490427,8411.284813,7422.944177,2565.344316,2780.252144,197006.7927,10516.02105,3513.732386,1162.487681,5243.334606,3071.710625,1098.95658,7451.400118,1394.202758,15411.71098,103747.468,69332.60675,323.5826922,310.2459205,3250.226925,7533.122576,2742.201801,12512.6613,6891.113918,2679.875749,1862.092657,31742.72645,28363.05526,581066.6353
,2008,22391.04763,2041.527715,737.4900645,232.9397029,12400.11869,2806.943474,8001.709437,6626.020951,1915.66456,2085.129722,200478.0934,8827.356527,3453.069669,962.0231592,4731.887156,2719.399323,883.8003163,6547.919255,1211.392645,12086.77263,100970.8702,66488.27848,220.346247,229.6748367,3274.157355,6143.899221,2564.086455,11389.81939,6616.790212,2293.600104,1711.547129,29167.58596,25655.38983,557866.3515
,2009,24196.03947,2434.471742,630.0395605,227.9551702,10937.21633,2459.389238,7336.019001,6677.947117,1373.199504,2097.149297,184989.1748,7510.319511,3337.169168,788.8647436,3800.417749,1498.405405,841.9399222,5647.623531,1321.895336,9268.771089,97098.61145,61352.011,220.3305357,255.7295419,2882.548008,5429.74043,2262.986993,9169.076687,5626.504212,1728.244745,1747.101243,24532.50885,18194.45268,507873.8541
,2010,22789.71323,2160.867235,564.4771614,182.0806895,10697.57937,2167.687308,7304.873596,7421.806152,1280.461595,2135.217799,201962.328,6960.25016,3178.694597,692.8567609,3441.712743,1341.569796,771.0907168,5050.371858,1323.920913,8102.943542,94529.23589,59977.35739,247.3797668,220.395146,2904.436261,5288.108844,1969.433718,8655.684976,5489.674964,1547.994168,1632.303178,23528.47808,17662.18648,513183.1721
,2011,23828.25532,2049.879503,663.6454262,243.2581473,9966.479979,2346.318003,7490.290953,7299.295917,1374.886838,2049.092196,171991.7129,7602.239668,2378.660784,688.401212,3770.488356,1401.951503,685.4086536,5679.472473,1415.068481,7999.525421,95520.7039,63383.60924,237.9889971,246.8549921,2912.064505,5502.472289,2045.314831,9327.805309,5676.256941,1645.588089,1512.609675,22789.71442,18511.48291,490236.7978
