Period,Final Demand Code,Measure,Unit,Value
year/2007,FD 6,greenhouse-gas-emissions,kt-co2e,3267.764
year/2007,FD 7,greenhouse-gas-emissions,kt-co2e,7168.923
year/2008,FD 1,greenhouse-gas-emissions,kt-co2e,614542.816
year/2008,FD 1,greenhouse-gas-emissions,kt-co2e,155227.2
year/2008,FD 2,greenhouse-gas-emissions,kt-co2e,6292.355
year/2008,FD 3,greenhouse-gas-emissions,kt-co2e,54313.009
year/2008,FD 4,greenhouse-gas-emissions,kt-co2e,46397.238
year/2008,FD 5,greenhouse-gas-emissions,kt-co2e,131490.264
year/2008,FD 6,greenhouse-gas-emissions,kt-co2e,1173.354
year/2008,FD 7,greenhouse-gas-emissions,kt-co2e,5358.004
year/2009,FD 1,greenhouse-gas-emissions,kt-co2e,553754.61
year/2009,FD 1,greenhouse-gas-emissions,kt-co2e,151281.5
year/2009,FD 2,greenhouse-gas-emissions,kt-co2e,6546.949
year/2009,FD 3,greenhouse-gas-emissions,kt-co2e,53439.464
year/2009,FD 4,greenhouse-gas-emissions,kt-co2e,42929.449
year/2009,FD 5,greenhouse-gas-emissions,kt-co2e,96747.431
year/2009,FD 6,greenhouse-gas-emissions,kt-co2e,1096.104
year/2009,FD 7,greenhouse-gas-emissions,kt-co2e,3701.967
year/2010,FD 1,greenhouse-gas-emissions,kt-co2e,559066.252
year/2010,FD 1,greenhouse-gas-emissions,kt-co2e,160476.1
year/2010,FD 2,greenhouse-gas-emissions,kt-co2e,6749.452
year/2010,FD 3,greenhouse-gas-emissions,kt-co2e,49067.439
year/2010,FD 4,greenhouse-gas-emissions,kt-co2e,39068.621
year/2010,FD 5,greenhouse-gas-emissions,kt-co2e,97964.94
year/2010,FD 6,greenhouse-gas-emissions,kt-co2e,700.623
year/2010,FD 7,greenhouse-gas-emissions,kt-co2e,6899.753
year/2011,FD 1,greenhouse-gas-emissions,kt-co2e,551776.637
year/2011,FD 1,greenhouse-gas-emissions,kt-co2e,141389.5
year/2011,FD 2,greenhouse-gas-emissions,kt-co2e,6063.524
year/2011,FD 3,greenhouse-gas-emissions,kt-co2e,47990.695
year/2011,FD 4,greenhouse-gas-emissions,kt-co2e,35723.554
year/2011,FD 5,greenhouse-gas-emissions,kt-co2e,99038.996
year/2011,FD 6,greenhouse-gas-emissions,kt-co2e,2364.087
year/2011,FD 7,greenhouse-gas-emissions,kt-co2e,7310.328
year/2012,FD 1,greenhouse-gas-emissions,kt-co2e,563995.938
year/2012,FD 1,greenhouse-gas-emissions,kt-co2e,149527.8
year/2012,FD 2,greenhouse-gas-emissions,kt-co2e,6630.47
year/2012,FD 3,greenhouse-gas-emissions,kt-co2e,52781.925
year/2012,FD 4,greenhouse-gas-emissions,kt-co2e,36166.373
year/2012,FD 5,greenhouse-gas-emissions,kt-co2e,99961.281
year/2012,FD 6,greenhouse-gas-emissions,kt-co2e,1711.83
year/2012,FD 7,greenhouse-gas-emissions,kt-co2e,5289.372
year/2013,FD 1,greenhouse-gas-emissions,kt-co2e,548244.64
year/2013,FD 1,greenhouse-gas-emissions,kt-co2e,151939.2
year/2013,FD 2,greenhouse-gas-emissions,kt-co2e,6169.577
year/2013,FD 3,greenhouse-gas-emissions,kt-co2e,50827.213
year/2013,FD 4,greenhouse-gas-emissions,kt-co2e,33285.806
year/2013,FD 5,greenhouse-gas-emissions,kt-co2e,99152.026
year/2013,FD 6,greenhouse-gas-emissions,kt-co2e,11562.622
year/2013,FD 7,greenhouse-gas-emissions,kt-co2e,6030.105
year/2014,FD 1,greenhouse-gas-emissions,kt-co2e,539355.983
year/2014,FD 1,greenhouse-gas-emissions,kt-co2e,139214.8
year/2014,FD 2,greenhouse-gas-emissions,kt-co2e,5810.221
year/2014,FD 3,greenhouse-gas-emissions,kt-co2e,50537.725
year/2014,FD 4,greenhouse-gas-emissions,kt-co2e,30924.925
year/2014,FD 5,greenhouse-gas-emissions,kt-co2e,107101.039
year/2014,FD 6,greenhouse-gas-emissions,kt-co2e,8567.844
year/2014,FD 7,greenhouse-gas-emissions,kt-co2e,13305.202
year/2015,FD 1,greenhouse-gas-emissions,kt-co2e,534174.034
year/2015,FD 1,greenhouse-gas-emissions,kt-co2e,143332.5
year/2015,FD 2,greenhouse-gas-emissions,kt-co2e,5774.36
year/2015,FD 3,greenhouse-gas-emissions,kt-co2e,47835.918
year/2015,FD 4,greenhouse-gas-emissions,kt-co2e,29424.812
year/2015,FD 5,greenhouse-gas-emissions,kt-co2e,114296.894
year/2015,FD 6,greenhouse-gas-emissions,kt-co2e,3391.73
year/2015,FD 7,greenhouse-gas-emissions,kt-co2e,8810.757
year/2016,FD 1,greenhouse-gas-emissions,kt-co2e,475748.468
year/2016,FD 1,greenhouse-gas-emissions,kt-co2e,145905.7
year/2016,FD 2,greenhouse-gas-emissions,kt-co2e,4643.777
year/2016,FD 3,greenhouse-gas-emissions,kt-co2e,38647.185
year/2016,FD 4,greenhouse-gas-emissions,kt-co2e,26134.645
year/2016,FD 5,greenhouse-gas-emissions,kt-co2e,105876.305
year/2016,FD 6,greenhouse-gas-emissions,kt-co2e,2948.748
year/2016,FD 7,greenhouse-gas-emissions,kt-co2e,3998.816
year/2017,FD 1,greenhouse-gas-emissions,kt-co2e,446151.323
year/2017,FD 1,greenhouse-gas-emissions,kt-co2e,144353.3
year/2017,FD 2,greenhouse-gas-emissions,kt-co2e,4916.208
year/2017,FD 3,greenhouse-gas-emissions,kt-co2e,40112.391
year/2017,FD 4,greenhouse-gas-emissions,kt-co2e,26387.066
year/2017,FD 5,greenhouse-gas-emissions,kt-co2e,101005.75
year/2017,FD 6,greenhouse-gas-emissions,kt-co2e,2328.616
year/2017,FD 7,greenhouse-gas-emissions,kt-co2e,3023.574
year/2018,FD 1,greenhouse-gas-emissions,kt-co2e,457816.078
year/2018,FD 1,greenhouse-gas-emissions,kt-co2e,148814.4
