Label,URI,Parent URI,Sort Priority,Description,Local Notation
Manufacture of air and spacecraft and related machinery,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/30-3,http://business.data.gov.uk/companies/def/sic-2007/C,,,30-3
"Manufacture of other transport equipment, excluding ships, boats, air and spacecraft",http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/30-2-4-9,http://business.data.gov.uk/companies/def/sic-2007/C,,,30-2-4-9
Furniture,http-//business-data-gov-uk/companies/def/sic-2007/31,http://business.data.gov.uk/companies/def/sic-2007/C,,,31
Other manufactured goods,http-//business-data-gov-uk/companies/def/sic-2007/32,http://business.data.gov.uk/companies/def/sic-2007/C,,,32
Repair & maintenance of ships,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/33-15,http://business.data.gov.uk/companies/def/sic-2007/C,,,33-15
Repair & maintenance of aircraft  & spacecraft,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/33-16,http://business.data.gov.uk/companies/def/sic-2007/C,,,33-16
Rest of repair; Installation,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/33-not-33-15-16,http://business.data.gov.uk/companies/def/sic-2007/C,,,33-not-33-15-16
Electricity production   gas,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/35-1/1,http://business.data.gov.uk/companies/def/sic-2007/D,,,35-1/1
Electricity production   coal,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/35-1/2,http://business.data.gov.uk/companies/def/sic-2007/D,,,35-1/2
Electricity production   nuclear,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/35-1/3,http://business.data.gov.uk/companies/def/sic-2007/D,,,35-1/3
Electricity production   oil,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/35-1/4,http://business.data.gov.uk/companies/def/sic-2007/D,,,35-1/4
Electricity production   other,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/35-1/5,http://business.data.gov.uk/companies/def/sic-2007/D,,,35-1/5
Manufacture of gas; distribution of gaseous fuels through mains and steam and air conditioning supply,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/35-2-3,http://business.data.gov.uk/companies/def/sic-2007/D,,,35-2-3
Natural water; water treatment and supply services,http-//business-data-gov-uk/companies/def/sic-2007/36,http://business.data.gov.uk/companies/def/sic-2007/E,,,36
Sewerage services; sewage sludge,http-//business-data-gov-uk/companies/def/sic-2007/37,http://business.data.gov.uk/companies/def/sic-2007/E,,,37
"Waste collection, treatment and disposal services; materials recovery services",http-//business-data-gov-uk/companies/def/sic-2007/38,http://business.data.gov.uk/companies/def/sic-2007/E,,,38
Remediation services and other waste management services,http-//business-data-gov-uk/companies/def/sic-2007/39,http://business.data.gov.uk/companies/def/sic-2007/E,,,39
Buildings and building construction works,http-//business-data-gov-uk/companies/def/sic-2007/41,http://business.data.gov.uk/companies/def/sic-2007/F,,,41
Constructions and construction works for civil engineering,http-//business-data-gov-uk/companies/def/sic-2007/42,http://business.data.gov.uk/companies/def/sic-2007/F,,,42
Specialised construction works,http-//business-data-gov-uk/companies/def/sic-2007/43,http://business.data.gov.uk/companies/def/sic-2007/F,,,43
Wholesale and retail trade and repair services of motor vehicles and motorcycles,http-//business-data-gov-uk/companies/def/sic-2007/45,http://business.data.gov.uk/companies/def/sic-2007/G,,,45
