,period_start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber,daycount
58,1866-11-01,95-93901,178-61591,167-82363,135-09052,66-70603,60-30733000000001,39-7838,84-54561,165-78703000000002,47-41847,70-34238,125-9514,61-209109999999995,101.29348,30
59,1866-12-01,127-9875,234-94276000000002,206-28148000000002,134-79281,53-731919999999995,59-122069999999994,55-892230000000005,91-16131,153-41161,58-5063,102-56966,129-70791,49-544270000000004,91.05898,31
60,1867-01-01,124-66753,149-7921,126-8272,143-31765,77-01718000000001,77-76963,67-05846,91-66041,113-02435,92-40814,147-17581,184-68046999999999,89-79488,87.89639,31
61,1867-02-01,75-26965,132-97644,127-12713000000001,94-75463,39-66638,34-238409999999995,36-88433,46-190870000000004,103-08036,49-333940000000005,79-92657,112-68097,49-683279999999996,58.9949,28
62,1867-03-01,66-17289,61-410669999999996,59-47385,65-37471,54-65797,45-37891,57-17665,48-12334,53-64331,73-95052,129-48318,117-95111000000001,82-82514,52.32931,31
63,1867-04-01,118-54659,163-7865,182-05536,127-53171999999999,73-20132,62-41989,53-749869999999994,88-59877,132-65069,55-69356,85-80225,160-97347,71-79149,99.68998,30
64,1867-05-01,84-52205,63-12248,80-03726,94-457,63-83876,73-1947,57-31032,63-238209999999995,55-5432,56-78485,91-1939,94-05378,60-14971,49.19572,31
65,1867-06-01,54-066590000000005,89-35235,72-29271999999999,39-6424,44-37676,23-83014,31-816509999999997,43-086220000000004,48-11524,38-93326,43-34102,27-79745,38-41765,50.50842,30
66,1867-07-01,155-12458,88-47015999999999,144-08566000000002,173-52532,66-81166999999999,91-93628000000001,103-57833000000001,110-24243999999999,114-28195,107-25958999999999,113-00018999999999,130-08847,73-76494,86.60563,31
67,1867-08-01,87-90484000000001,90-76673000000001,117-90843999999998,78-13937,67-94802,47-95998,59-88049,67-84373000000001,87-64352,55-91947,51-556740000000005,66-08100999999999,56-76605,78.82396999999999,31
68,1867-09-01,78-03452,114-17841999999999,128-00252,52-4359,56-630480000000006,59-02256,58-41199,60-71388,104-31595,53-89989,59-59095,90-05637,56-18623,67.29301,30
69,1867-10-01,94-76696,190-01738999999998,166-93183,172-36608,64-09855,54-67545,48-25031,42-735620000000004,115-97166999999999,76-10068000000001,126-74942,185-60777,82-36131999999999,61.879630000000006,31
70,1867-11-01,23-50186,62-0999,43-03734,40-098079999999996,21-38306,21-9624,20-70499,22-99829,37-57962,24-34205,37-7808,36-93493,28-241229999999998,34.78716,30
71,1867-12-01,69-63101999999999,159-74569,115-17806000000002,71-75588,56-61623,62-28379,41-382459999999995,58-629709999999996,101-71085,49-179520000000004,62-86336,104-7941,50-3679,61.70912,31
72,1868-01-01,148-48995,293-69667000000004,197-7505,126-9487,57-144,66-11738000000001,93-41572,100-33322,110-68941000000001,107-70128999999999,146-2695,175-54543999999999,65-65614000000001,83.02001,31
73,1868-02-01,117-79438999999999,307-13933,215-07709,96-56260999999999,45-72663,34-884240000000005,30-412809999999997,61-93253000000001,90-87078000000001,34-526579999999996,51-65764,102-34474,53-33256,50.293040000000005,29
74,1868-03-01,99-24622,170-95226,191-23406,125-6391,48-621590000000005,43-776540000000004,32-46905,73-20839000000001,152-9472,47-43315,66-99602,138-51532,53-1768,66.75898000000001,31
75,1868-04-01,107-70098999999999,101-11025,110-61578,66-2574,42-930659999999996,40-71685,41-36806,87-69336,69-39468000000001,55-84851,71-22856,71-88324,45-40159,61.30211,30
76,1868-05-01,65-39394,88-87213,106-39555,58-41995,21-38062,18-553420000000003,32-15964,43-23196,57-58696,31-46535,45-2032,59-38454,42-209140000000005,35.434490000000004,31
77,1868-06-01,28-55003,97-58303000000001,46-104009999999995,25-29359,11-22297,18-03451,14-99184,23-30545,24-56963,14-609379999999998,20-39575,18-4038,8-28565,18.221729999999997,30
78,1868-07-01,17-92445,35-33872,34-03232,25-7765,9-64323,9-745460000000001,24-16115,13-404520000000002,19-24739,35-142559999999996,23-25481,37-596740000000004,17-49721,13.9518,31
79,1868-08-01,164-53462,228-40377999999998,195-89685,136-29805,77-54448000000001,73-09388,68-07342,87-50672,116-93945,100-28357,137-80297,134-13796000000002,105-1671,82.18571,31
80,1868-09-01,118-48026999999999,89-64878,72-65519,52-748430000000006,58-80226999999999,51-54985,51-14904,90-65758000000001,60-841809999999995,84-77020999999999,121-15337,105-56322,69-42504,82.54578000000001,30
81,1868-10-01,91-29643,192-24258,171-37431,77-5711,72-85183,63-94181,61-563159999999996,70-43587,135-6806,70-9641,106-76468999999999,130-50011,60-28661999999999,92.97437,31
82,1868-11-01,74-65656,110-81101000000001,114-19283999999999,129-19776000000002,37-67902,38-34196,26-658479999999997,64-2768,82-12517,44-12477,85-03336999999999,87-53596,42-46893,64.78353,30
83,1868-12-01,187-99815,187-18767,243-20429,163-72606000000002,151-39213,112-80878999999999,136-74135,142-95494,211-53599,163-86475,199-37803,308-92312000000004,160-52208000000002,188.0051,31
84,1869-01-01,144-62438,177-65966,188-07428000000002,102-25093000000001,72-42881,55-507630000000006,69-88141999999999,91-27814000000001,131-32773999999998,92-93576,145-06171,200-853,98-83731999999999,88.7882,31
85,1869-02-01,100-36006,213-98811,187-61987,146-1001,56-63595,56-20905,62-52085,82-99769,120-75761000000001,73-29303,95-29644,162-32538,68-39454,83.30269,28
86,1869-03-01,39-79064,80-33751,41-940690000000004,64-99441999999999,56-59401999999999,56-4769,42-49496,39-54085,37-60662,54-29517,55-19576,64-21755999999999,42-28882,48.9178,31
87,1869-04-01,57-7283,97-30064,69-97703,83-18307,51-96753,37-44781,35-692,44-38304,71-24255,35-72317,34-88221,87-33197,42-5193,54.021,30
88,1869-05-01,40-23279,50-4107,37-03365,69-91393000000001,114-15987,79-30699,81-81325,67-69816999999999,73-46967,98-16060999999999,153-16997,137-01459,123-05378,107.99505,31
89,1869-06-01,66-76855,69-91678,55-7634,41-30252,36-76282,33-5088,26-230559999999997,34-98384,40-22678,34-67836,25-02201,25-248720000000002,29-591759999999997,32.35743,30
90,1869-07-01,37-81926,68-90008,76-98099,63-441590000000005,16-25154,13-204979999999999,17-54845,18-23844,46-4163,17-02777,20-10085,37-30543,19-44635,21.32687,31
91,1869-08-01,33-633990000000004,67-84002,40-24739,52-945209999999996,38-68499,41-472429999999996,31-806420000000003,46-416290000000004,61-21666,33-79065,25-385089999999998,63-87631999999999,37-72994,50.47853,31
92,1869-09-01,160-52283,196-8674,234-15925,122-89811999999999,92-82743,78-88306999999999,92-43146999999999,114-55417,203-72083999999998,107-13983,142-10203,245-06522,130-81996999999998,116.82937,30
93,1869-10-01,105-84711000000001,164-18899,81-95106,54-6737,39-27747,52-505109999999995,44-52203,63-80675,84-94507,56-95516,83-18115999999999,105-3467,45-08334,56.67971,31
94,1869-11-01,84-33638,217-97197999999997,186-95931000000002,157-46276,54-2276,60-5043,58-89533,72-43191,147-54554,62-706340000000004,80-05764,146-43903999999998,66-14286,76.43036,30
95,1869-12-01,113-25663,193-2474,206-01915,152-37429,104-89668,104-48787,75-93148000000001,89-66,148-36324,98-09039,135-86139,166-56728,100-71075,121.03098,31
96,1870-01-01,69-26431,105-8046,117-8189,95-3304,42-23948,27-66644,34-25138,64-6,106-0585,44-83253,72-64588,112-20423000000001,47-91203,63.63143,31
97,1870-02-01,117-05788999999999,111-6898,143-38908999999998,92-47332,40-90359,23-6948,32-63807,63-51101,67-34491,51-878040000000006,74-96885,108-55951999999999,49-30011,57.856030000000004,28
98,1870-03-01,24-753439999999998,36-79391,42-46697,40-75983,41-692479999999996,41-06667,50-636509999999994,39-2283,64-71565,48-0128,55-03525,83-56741,41-70994,51.9088,31
99,1870-04-01,37-73109,128-82232,68-85774,42-5846,20-41181,15-9194,10-18637,22-517229999999998,41-11215,11-1259,12-83329,50-23706,23-90958,24.88942,30
100,1870-05-01,67-55464,80-19386999999999,123-98675,63-39154,18-9471,16-156,23-33195,48-47018,75-17804,31-9353,49-139590000000005,67-14403,27-0591,33.95708,31
101,1870-06-01,45-281940000000006,64-45074,64-0687,45-21549,41-151579999999996,24-94466,17-68742,59-832069999999995,49-46127,12-22332,15-49666,31-50331,19-60458,63.47345,30
102,1870-07-01,49-51109,87-1637,81-54304,55-79608,28-582829999999998,45-07548,28-14188,28-49093,39-519909999999996,31-66665,33-68593,58-97371,37-0006,22.63567,31
103,1870-08-01,50-35561,61-986419999999995,47-88834,65-42867,41-47398,45-93642,55-71439,51-904759999999996,49-05395,57-11779,59-29146,78-74580999999999,57-232969999999995,45.99157,31
104,1870-09-01,86-72603000000001,127-98463000000001,119-88623999999999,89-70616,33-945159999999994,41-613690000000005,47-76886,41-51227,88-71074,53-47285,43-869859999999996,82-09435,30-645220000000002,39.96431,30
105,1870-10-01,124-27358999999998,146-95747,191-48797,252-90751,125-20405,85-97737,84-84089,117-01487,221-96584,107-09881000000001,157-5037,292-18921,123-95638999999998,175.37855,31
106,1870-11-01,66-15511,122-00758,69-48584,57-415659999999995,43-844359999999995,30-5477,38-08518,79-31573,80-62046,49-22094,84-06639,151-54515,66-57614000000001,60.53226,30
107,1870-12-01,105-18798000000001,143-16955,86-60208,101-41043,77-39113,90-21938,74-94409,108-42627,73-97861999999999,80-85204,75-03076,94-61856999999999,57-312619999999995,98.39053,31
108,1871-01-01,69-77038,121-66333,130-87291000000002,114-05923999999999,23-73653,27-0101,49-4882,41-72885,72-13805,68-00483,94-61281,121-47096,48-22472,29.926340000000003,31
109,1871-02-01,127-60585,143-64197,188-80675,92-55928,40-352,48-40737,32-538959999999996,66-89435999999999,105-9097,41-00115,59-99997,98-86666,44-86902,73.17813000000001,28
110,1871-03-01,59-424319999999994,109-51913,123-67102,60-340340000000005,25-8056,34-022659999999995,32-77702,33-22733,61-6344,38-43691,47-352740000000004,73-23509,32-06081,35.88539,31
111,1871-04-01,127-04476000000001,84-77006,125-66946000000002,112-20608999999999,74-54164,78-41818,73-32333,96-64455,79-40392,94-79534,119-92118,129-04773,72-57885999999999,82.83495,30
112,1871-05-01,29-8776,38-08374,32-524029999999996,18-849120000000003,34-58667,26-145979999999998,21-76287,40-91085,42-13584,16-6114,20-456229999999998,30-93437,34-19303,37.31873,31
113,1871-06-01,61-615790000000004,47-4771,71-07588,64-58061,87-01021999999999,76-93568,82-84886999999999,75-40128,67-02462,82-12218,64-6537,75-88863,79-1637,89.61162,30
114,1871-07-01,121-28298000000001,171-64201,143-85633,153-96842,97-74003,74-67279,92-50018,104-24015,140-32091,96-93321,137-62859,168-84501,104-88781000000002,107.17936999999999,31
115,1871-08-01,84-08321,102-54552,126-59881000000001,77-73814,27-0838,19-97932,22-5621,43-01565,85-42182,30-454209999999996,50-80764,78-95204,39-00027,35.231770000000004,31
116,1871-09-01,80-82666,107-54303,73-34939,88-53523,117-56248000000001,112-13005,121-48071999999999,116-85519,100-4637,123-20015,171-76514,162-33039,144-97757,155.18526,30
117,1871-10-01,119-01006000000001,144-21578,136-53456,71-84678000000001,43-97763,29-977759999999996,29-18003,69-09936,132-15198999999998,43-27093,112-29023000000001,190-00677,82-52678,69.30058000000001,31
118,1871-11-01,87-27233000000001,113-75712,127-40581,70-23715,32-84391,39-68739,14-76917,57-3409,52-29274,20-54415,37-41212,56-53343,23-92132,41.40974,30
119,1871-12-01,90-03578,152-8249,195-05749,67-16174000000001,33-95296,30-3226,32-14712,75-80731,120-99117,47-13892,80-83749,100-788,40-45243,57.39445,31
120,1872-01-01,157-36052,231-30397999999997,285-9483,164-16835,84-75939,74-22299,92-18970999999999,101-51384,183-09829,145-09756000000002,185-72761,231-05571,125-90881,102.02363000000001,31
121,1872-02-01,166-35355,110-73951000000001,176-24891000000002,115-81926000000001,57-8929,25-70383,24-02652,83-1976,123-79393999999999,52-03747,127-56929,163-95154,86-03336,90.26705,29
122,1872-03-01,91-76668000000001,77-43475,123-6127,78-28938000000001,50-812540000000006,58-849090000000004,58-181509999999996,95-96767,105-97801000000001,64-94232,92-83946,132-49133,58-39139,78.57375,31
123,1872-04-01,70-03211999999999,92-0746,51-50383,90-07065,76-43941,56-53665,36-20876,72-89236,72-21731,43-95971,77-53797,93-95383000000001,75-1258,84.62976,30
124,1872-05-01,108-32248,115-57257,98-70123000000001,69-93009,47-73274,61-51471,83-66584,69-66761,74-06781,79-85698000000001,63-88672,71-5995,52-38195,50.095040000000004,31
125,1872-06-01,157-15202,195-28881,207-86423,127-95313999999999,89-64409,61-41021,59-1634,81-342,144-39205,73-81942,102-93897,170-40738000000002,115-2316,111.14418,30
126,1872-07-01,95-52031,100-54356,134-17793999999998,69-08378,113-69126000000001,124-82276999999999,63-96682,97-30252,132-09312,80-07223,114-88091000000001,150-27617,120-13496,120.45123999999998,31
127,1872-08-01,124-11958,111-60602,157-71075,115-61741,78-12301,80-422,50-184909999999995,92-28109,110-11243,50-098459999999996,63-647780000000004,101-59319,85-04123,85.01606,31
128,1872-09-01,174-14481999999998,201-0642,233-58717000000001,160-89243000000002,75-79339,52-122240000000005,39-27848,141-20942,195-57289,42-47762,86-92018,181-17609,71-82114,129.38023,30
129,1872-10-01,148-62903,200-38055,163-5233,143-81614,96-39243,87-5601,124-40847,155-60931000000002,172-5218,128-86571,157-8195,232-00544,133-56493,121.36623,31
130,1872-11-01,202-97475,200-25226,216-55127000000002,151-6451,92-5764,105-78076999999999,92-32581,134-91702,137-65344,132-01509,164-00041000000002,255-44627999999997,116-98098,136.91779,30
131,1872-12-01,172-49069,124-84055,227-32471,166-36601000000002,84-15509,98-43094,110-22032,118-87279,131-99424,140-82814,174-93521,229-74306,111-08695,99.90777,31
132,1873-01-01,152-34502,185-92208,255-47002999999998,130-91615,51-57497,53-18151999999999,68-955,92-09429,181-56888,95-65355,150-16877,213-34762999999998,76-11908000000001,78.62984,31
133,1873-02-01,40-28417,51-538090000000004,33-968340000000005,26-0713,34-18936,46-48672,49-13609,43-992329999999995,23-873379999999997,53-546580000000006,82-01075,61-29597,26-682540000000003,37.720079999999996,28
134,1873-03-01,61-77993000000001,70-28423000000001,89-19025,61-3318,50-99208,35-96609,37-72351,60-08534,79-33306,60-45865,107-36146000000001,115-5028,74-69799,69.35840999999999,31
135,1873-04-01,24-93805,60-66121,16-09861,14-63933,19-5414,31-37653,13-94786,24-85525,15-80154,21-79332,24-98171,40-77666,21-243579999999998,24.06104,30
136,1873-05-01,95-18828,89-8173,80-70539000000001,59-764430000000004,61-30986,51-51921,40-77637,62-89743000000001,61-84625,42-35907,52-369679999999995,78-05036,61-789609999999996,62.500969999999995,31
137,1873-06-01,51-35246,91-63064,69-22884,45-61697,60-50866,49-07165,59-91161999999999,40-54295,67-32008,60-63271999999999,49-93056,58-97413,69-27815,41.98995,30
138,1873-07-01,141-00686000000002,142-70251000000002,187-84158,130-7498,61-427369999999996,52-95844,49-65847,74-44244,136-39751,57-47906,85-96165,114-64612,74-16208,77.18069,31
139,1873-08-01,109-39386,150-14702,174-18336000000002,150-28203,77-25865,65-79083,65-61174,87-59798,146-9544,71-93019,121-91358999999999,145-49248,81-99623000000001,77.33954,31
140,1873-09-01,128-27488,159-28954,150-00306,84-91247,47-651070000000004,63-36056,64-74708000000001,61-03134,91-36551,67-89751,71-71499,101-73244,44-35859,57.38875,30
141,1873-10-01,137-62911,201-07631,223-93112000000002,96-02445,56-22673,72-35495,76-67752,85-46961999999999,156-71933,86-27186999999999,77-92893000000001,135-11691000000002,65-90818,79.124,31
142,1873-11-01,98-62913,149-48896000000002,110-95002,72-0409,50-68335,44-73766,50-01032,57-78281,82-67832,64-87496,102-84393,86-53928,48-28532,62.75521,30
143,1873-12-01,86-62708,184-17914,130-31717,33-650490000000005,10-90443,15-48536,12-07151,27-39766,59-21411,16-70627,24-13401,51-09868,19-5012,20.09733,31
144,1874-01-01,97-18898,210-24212999999997,178-57906,65-67349,44-970659999999995,30-073090000000004,31-09473,66-78121,128-32873,52-23134,106-88747,154-7268,67-14668,61.74015,31
145,1874-02-01,49-51146,62-0083,75-31975,60-471540000000005,42-65465,22-0048,28-183040000000002,43-07117,71-18691,50-63308,86-53013,105-25431999999999,63-864230000000006,42.72276,28
146,1874-03-01,82-87119,163-50571000000002,139-46793,61-18448000000001,29-862209999999997,19-767129999999998,11-531839999999999,51-36472,106-67164,18-1829,32-47537,93-80925,30-85507,56.01107,31
147,1874-04-01,59-908359999999995,115-04523,98-37351,59-08562,31-72028,31-6936,36-805170000000004,43-04575,49-516659999999995,55-51255,56-432430000000004,69-63844,36-73383,37.97278,30
148,1874-05-01,53-34946,72-02884,55-52754,38-077940000000005,31-22196,24-41773,27-419320000000003,65-43496999999999,42-31765,25-82398,22-57317,46-30307,42-58324,47.23353,31
149,1874-06-01,43-4196,84-98071,47-41393,53-137130000000006,18-327189999999998,38-45245,59-01419,29-87595,28-27035,52-18456,45-1567,37-70998,22-663629999999998,22.88984,30
150,1874-07-01,98-33369,102-44049,107-54072,75-39973,32-18951,26-03067,25-4322,47-97044,72-82394000000001,32-95511,46-45095,77-07836999999999,33-92577,48.62138,31
