,period_start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber,daycount
861,1933-10-01,132-12929,188-34966,109-0161,81-8995,87-30285,53-81651,39-35403,110-10555,126-4949,50-95539,104-24188000000001,188-31686000000002,111-28764,120.79935,31
862,1933-11-01,92-95253000000001,69-1078,77-3294,43-82543,46-81047,43-713770000000004,25-638379999999998,95-22133000000001,54-96573000000001,29-66579,29-3631,40-97657,24-46179,72.04981,30
863,1933-12-01,37-887,37-50197,53-71592,61-699169999999995,11-03093,13-05878,10-34721,38-64853,22-98237,15-58736,39-22957,51-73449,12-56751,19.67556,31
864,1934-01-01,116-21963000000001,195-33595,216-88836,107-06743,49-00026,32-59251,38-823609999999995,65-67104,135-4988,62-4271,91-89735,150-34974,70-58604,62.527719999999995,31
865,1934-02-01,15-0848,72-6143,26-430220000000002,11-56882,16-77147,11-22053,5-36841,10-3852,8-02219,5-19144,7-16327,14-69169,8-821060000000001,24.32953,28
866,1934-03-01,100-599,107-6793,93-43609000000001,64-25434,50-37218,43-090090000000004,54-423930000000006,101-34415,76-31466999999999,70-18014000000001,81-18217,104-00775,52-29267,68.64161,31
867,1934-04-01,151-1869,173-09982,109-86608000000001,83-08728,57-309,53-10156,54-17038,115-49824,82-26708,57-280730000000005,76-2548,91-29755,60-707530000000006,75.88119,30
868,1934-05-01,79-93731,107-02735,108-35961999999999,83-38604000000001,25-021739999999998,26-425159999999998,13-781070000000001,45-13219,91-95074,19-1325,37-93084,84-8172,31-19193,43.3528,31
869,1934-06-01,52-10284,61-186069999999994,77-20934,54-17524,24-071920000000002,33-957390000000004,31-079420000000002,65-59501,66-30226,35-53848,46-36573,55-51173000000001,28-173659999999998,45.22493,30
870,1934-07-01,96-06625,142-54275,86-7918,67-64628,45-43257,38-4563,42-027229999999996,75-04884,57-699709999999996,38-79353,28-361909999999998,37-55891,35-89424,50.045159999999996,31
871,1934-08-01,121-93488,135-74029,155-72223,142-24255,51-37938,46-11155,49-93894,89-4883,123-49673,60-7637,97-01026,133-33091000000002,61-83028,61.545919999999995,31
872,1934-09-01,107-91883999999999,146-88731,193-31371000000001,157-5097,44-00519,40-91533,37-77084,54-37875,121-03922,48-77527,81-10007,114-65093,49-482459999999996,57.71581,30
873,1934-10-01,155-69777,222-5831,242-40971000000002,136-46204,39-603,37-5007,33-72513,125-59398999999999,173-41656,47-04309,77-50411,158-23705,50-9397,79.17075,31
874,1934-11-01,53-76968000000001,77-24591,50-49777,35-95237,52-0467,41-16187,54-17516,80-425,45-50101,71-31485,54-12763,65-2638,50-40162,58.63666,30
875,1934-12-01,181-97807,139-93688999999998,241-46405,163-59281000000001,108-01541,95-25113,130-75977,122-62191000000001,177-0289,189-97173999999998,263-74372999999997,288-75056,127-4609,133.56059,31
876,1935-01-01,57-527280000000005,146-16081,89-48418000000001,56-057469999999995,40-648920000000004,50-600629999999995,27-64503,60-476969999999994,64-06992,25-85839,27-17884,55-808130000000006,26-15223,54.97019,31
877,1935-02-01,97-84902,187-70094,187-47259,117-0254,62-23291,53-57005,63-207319999999996,92-15095,158-57342,91-29826,101-85906,178-27088,69-37264,102.65383,28
878,1935-03-01,57-16406,102-48196,67-26071,40-41579,16-556829999999998,14-231110000000001,10-04383,31-20917,37-45518,13-912560000000001,31-983359999999998,40-28155,17-74776,25.99813,31
879,1935-04-01,117-08256999999999,100-80465,109-15762,79-85003,74-7963,67-27668,76-24831999999999,89-86617,96-15088,92-14541,127-93218999999999,146-17796,93-67044,74.48029,30
880,1935-05-01,33-732409999999994,44-352709999999995,25-59863,29-030659999999997,15-36104,31-51367,33-11851,26-860020000000002,27-853890000000003,37-42933,44-67584,48-81394,25-97002,22.23648,31
881,1935-06-01,117-41435,103-41726,123-54956000000001,111-74148999999998,75-1793,69-54489000000001,81-12087,82-67175,116-00927,85-93472,107-21727,145-3776,84-52989000000001,74.70245,30
882,1935-07-01,41-66237,89-753,68-9718,36-06907,16-21688,18-408070000000002,24-07769,24-81989,50-03029,21-55988,19-07803,28-91617,14-09735,18.58908,31
883,1935-08-01,78-80471,142-79002,88-54732,69-26623000000001,45-14934,36-2414,53-69245,67-19357,66-70546,80-46821,66-17251999999999,63-33305,40-29379,54.344919999999995,31
884,1935-09-01,140-08527,217-17465,200-59001,132-43372,101-0367,90-6192,80-50666,121-36401000000001,200-25236,112-00143,127-76208999999999,218-32541,102-89475,141.29762,30
885,1935-10-01,195-17068999999998,279-11279,288-14597000000003,142-71563999999998,89-80258,63-746159999999996,72-70609,129-0485,199-63038,106-8143,147-1109,206-17551,97-44586,139.15972,31
886,1935-11-01,145-96864,129-22506,179-95273999999998,133-64685,113-13965,92-36824,105-82136000000001,118-415,129-58903,154-5926,179-07566,194-61616,133-10769,135.31559,30
887,1935-12-01,79-76266,102-60972,114-50635,97-81738,78-08668,54-795680000000004,70-78463,56-47325,91-8279,95-60082,131-78622,111-61398999999999,87-1668,73.83334,31
888,1936-01-01,147-04018,120-14402,151-5675,129-6505,89-01357,81-4801,105-26855,123-27389,135-23523,121-7684,139-29816,183-25699,96-86327,110.25721000000001,31
889,1936-02-01,92-83388000000001,75-21011,86-39635,65-04913,58-299569999999996,59-876569999999994,42-081509999999994,89-5488,69-21631,59-782790000000006,92-12431,81-72787,58-487159999999996,75.6817,29
890,1936-03-01,70-47524,64-26666,90-85805,69-67399,35-70377,18-03611,28-0599,68-12784,66-55761,44-893229999999996,95-27103000000001,96-77651,56-665969999999994,48.54545,31
891,1936-04-01,35-06108,62-63403,39-9881,27-704390000000004,46-230540000000005,36-12318,38-78331,41-226729999999996,30-635209999999997,48-02499,63-75956,78-18909000000001,53-10334,40.398740000000004,30
892,1936-05-01,39-3161,49-29102,68-32138,46-072559999999996,23-38855,23-98029,11-81321,46-84875,29-378120000000003,14-8237,23-38162,50-52973,24-45719,42.903009999999995,31
893,1936-06-01,46-20418,44-38831,71-55649,87-84185,92-86899,90-61549000000001,86-43985,80-09395,101-84137,86-18616999999999,67-94334,131-52323,96-20319,103.55399,30
894,1936-07-01,136-40261999999998,150-57942,170-60806000000002,191-04267,126-29668999999998,116-33991,82-53941999999999,96-56728000000001,128-67961,105-62068000000001,175-08283,191-01224,138-98995,96.67876,31
895,1936-08-01,56-62783,101-27289,93-92148,72-93928000000001,26-772879999999997,22-49107,13-52179,50-18367,70-8958,18-69416,13-298029999999999,44-04755,18-30431,56.508480000000006,31
896,1936-09-01,105-29457,117-0582,131-09791,119-79171000000001,64-75362,64-72146,68-4011,104-22527,141-48707,74-95016,91-51595999999999,123-05251000000001,83-6788,76.61589000000001,30
897,1936-10-01,89-45409000000001,185-45152,170-7236,89-91246,53-38905,46-25538,48-72999,61-031780000000005,113-09196999999999,46-87574,50-14263,89-64631999999999,45-19921,66.33003000000001,31
898,1936-11-01,92-42282,110-4033,138-82573,121-55865,66-45655,73-42061,83-70427,93-72555,134-63493,100-92024,108-10443000000001,157-45869,73-16757,93.41973,30
899,1936-12-01,128-42717,251-87552999999997,226-83692000000002,116-22571,46-76801,42-60472,54-718340000000005,66-25836,157-01511000000002,72-14409,113-06548000000001,187-816,74-38879,69.25573,31
900,1937-01-01,193-81903,206-85295,217-37644,162-67925,90-64019,92-39461,99-74750999999999,96-96195,115-74253999999999,140-82398999999998,164-57485,185-24068,91-58166,103.8246,31
901,1937-02-01,118-37981,142-23649,172-00718999999998,137-21565,83-67703,79-05915999999999,108-07593999999999,102-90569,164-34945,126-76243999999998,171-37968,221-82268,111-66658999999999,115.61458999999999,28
902,1937-03-01,93-35788000000001,60-760940000000005,52-962230000000005,72-00924,67-76948,79-77982,76-76446,96-42418,55-143440000000005,98-92634,126-21083,94-45893000000001,67-70918,76.24835,31
903,1937-04-01,49-35499,41-53229,80-76693,69-18760999999999,69-08162,68-30020999999999,64-51481,62-71122,81-61066,68-54679,83-0789,102-25165,61-36704,83.84626999999999,30
904,1937-05-01,73-85110999999999,63-42781,55-544430000000006,38-69,88-2425,73-43052,71-43068000000001,83-02388,64-18606,74-39805,69-08006999999999,55-49481,61-632659999999994,81.03432,31
905,1937-06-01,53-393769999999996,89-00749,98-57189,62-11786,30-820159999999998,42-793890000000005,50-477740000000004,39-60768,57-74289,41-28331,33-431940000000004,56-11338000000001,25-40519,43.519009999999994,30
906,1937-07-01,118-71243,110-057,144-15354,118-13093,72-24121,48-574690000000004,24-80405,67-20786,71-98170999999999,33-4996,70-13586,85-44873,73-93179,57.06766,31
907,1937-08-01,105-91331000000001,113-52815,103-16643,93-90234,21-22069,38-98822,46-45653,63-751169999999995,67-17387,37-39322,31-61901,42-06349,29-719890000000003,33.28688,31
908,1937-09-01,58-773709999999994,127-05416000000001,110-17811999999999,82-95326999999999,33-686209999999996,49-97502,41-58448,56-77904,83-05649,57-5048,81-74323000000001,83-88864000000001,55-21969,40.62195,30
909,1937-10-01,102-91885,84-79106999999999,113-42538,63-029030000000006,63-90501,47-78282,62-977109999999996,68-5778,68-87144,83-6665,104-85168,115-42828999999999,73-71342,68.29012,31
910,1937-11-01,24-565929999999998,54-363130000000005,37-09022,47-73338,41-7278,43-83631,36-992709999999995,37-74929,43-07221,45-0685,61-558690000000006,64-58914,39-369440000000004,55.94161999999999,30
911,1937-12-01,115-5699,67-47440999999999,98-67536,95-00803,69-89681999999999,79-30412,98-33507,137-68508,84-55233,104-55284,98-43469,109-8127,68-01966,100.26358,31
912,1938-01-01,164-79587,249-76109,237-46387000000001,135-40671,67-34895999999999,64-03361,67-49091,84-83057,148-67899,87-48638000000001,127-52688,201-61708000000002,86-03851,98.00175,31
913,1938-02-01,53-46683,145-82846,102-2481,51-10508,24-49515,17-30005,14-95234,33-99981,49-28994,20-32403,35-23413,64-87832,19-12496,38.01181,28
914,1938-03-01,49-09538,191-37939,132-88877,47-65039,8-08192,9-94283,9-16957,23-29072,53-661609999999996,10-3478,9-30378,39-956520000000005,9-48357,13.255070000000002,31
915,1938-04-01,13-74226,45-573890000000006,20-15791,7-59399,3-70404,9-47182,4-10259,8-09954,14-11948,6-04579,3-8586400000000003,8-76671,3-59542,6.771489999999999,30
916,1938-05-01,101-02989000000001,100-9826,112-36353000000001,80-63767,61-4382,49-247240000000005,42-07267,81-56667,102-76813,53-076069999999994,66-98353,97-81159,48-50655,85.05422,31
917,1938-06-01,123-40328000000001,164-25355,180-39718,109-90223,38-08955,21-10349,11-54133,85-05975,126-97684,19-53499,40-841770000000004,120-39196000000001,44-94898,71.13072,30
918,1938-07-01,122-82528,151-71499,161-75852,141-92975,77-07106,39-325720000000004,36-19105,83-01392,145-13554,51-101209999999995,89-6407,134-7442,76-76047,90.83726999999999,31
919,1938-08-01,62-224340000000005,112-14187,89-72418,68-19060999999999,68-95899,43-447309999999995,57-21131999999999,64-59182,99-29345,59-208459999999995,117-38493000000001,115-174,83-94332,91.51504,31
920,1938-09-01,106-84848000000001,128-3257,135-30398,77-79817,58-763380000000005,59-85954,61-22841,55-54541999999999,67-57065,54-18408,56-59328000000001,65-05883,47-12399,57.7484,30
921,1938-10-01,180-7856,271-1708,286-46086,178-02955,69-9882,66-31328,65-47215,136-92086,262-46389,87-20138,124-51658,223-95005,78-81775,145.42015,31
922,1938-11-01,182-13904,265-94825,283-68651,156-0728,66-89596999999999,57-91749,78-80592,98-4938,179-90903,97-71421,160-22885,215-51649,89-81228,101.67657,30
923,1938-12-01,114-72214,146-01086999999998,150-30203999999998,123-64633,98-83879,75-87755,77-81723000000001,102-86633,128-09097,92-80129000000001,120-42008999999999,145-31351999999998,89-43862,118.49455,31
924,1939-01-01,136-90616,146-77544,136-83813999999998,110-89142,121-62931999999999,117-87718999999998,117-71038,144-59738000000002,161-40762,137-08328,173-09169,227-3557,147-42031,135.27901,31
925,1939-02-01,111-33821,186-04111,197-13067,89-44196,27-25078,19-80635,25-607120000000002,47-1195,119-38086000000001,36-70043,57-1007,134-61157,37-08695,57.2797,28
926,1939-03-01,96-62108,122-98916000000001,127-62194,101-10368000000001,48-86482,47-56216,32-94316,96-38566,82-39886,39-2323,43-34885,83-5154,41-40728,65.39601,31
927,1939-04-01,49-80999,85-80922,71-78208000000001,64-77053000000001,49-6109,64-59648,65-5279,40-03386,60-33205,68-87164,79-54561,88-62095,52-80236,41.58171,30
928,1939-05-01,36-04555,41-84486,33-42127,29-30507,29-96973,27-35721,39-40231,31-86372,29-08065,38-34152,26-50323,29-178690000000003,29-65411,39.35987,31
929,1939-06-01,56-68836999999999,60-41378,77-95703,66-87598,54-74771,45-181090000000005,32-214940000000006,66-10592,92-57889,42-60615,73-05308000000001,79-75596,44-85783,69.52758,30
930,1939-07-01,134-10623,197-31333,168-77577,128-00936000000002,96-33336,54-13418000000001,63-14505,94-4587,178-6092,85-96566999999999,159-50115,241-26851000000002,139-04243,123.32647,31
931,1939-08-01,58-17899,76-01805999999999,64-28185,46-824670000000005,75-27951999999999,73-57741999999999,81-51897,76-97343000000001,65-54635999999999,59-75095,77-70453,95-76509,58-52361,59.21338000000001,31
932,1939-09-01,69-21603,67-96989,86-05627,66-82173,28-30992,34-03743,33-33475,40-97203,44-49503,26-36396,27-358909999999998,31-456459999999996,21-718970000000002,38.90846,30
933,1939-10-01,133-05346,75-5044,79-68064,74-43663000000001,97-39665,133-31365,144-71398,148-22262,67-48249,165-43,111-40332,91-881,85-1648,95.30004,31
934,1939-11-01,167-98973,211-42561,258-07004,155-59476,101-26999,97-55393000000001,113-95396000000001,96-83555,180-11927,141-8427,203-72291,264-62467999999996,117-51456999999999,114.93648999999999,30
935,1939-12-01,58-982659999999996,109-12727,95-22973,95-34345,48-01697,38-9912,28-785259999999997,41-37787,72-79899,44-13459,70-13445,103-28879,45-508520000000004,59.1277,31
936,1940-01-01,51-11759,45-88944,83-76344,105-09232,55-81223000000001,43-55825,56-680130000000005,53-0517,65-59137,69-75045,76-35441999999999,111-08251000000001,79-6806,61.951980000000006,31
937,1940-02-01,53-627559999999995,69-41233000000001,66-47485999999999,87-42304,64-14188,41-63987,40-323159999999994,50-78303,53-07646,66-36499,104-92843,127-84022,66-9259,54.1759,29
938,1940-03-01,106-12853,112-0841,148-8547,125-17572,50-53353,67-24615,82-55538,86-40739,114-19783000000001,75-37980999999999,77-16027,105-0922,48-51262,59.16876,31
939,1940-04-01,68-54196999999999,104-60308,81-23926999999999,112-73767,47-70308,37-66823,46-736509999999996,40-55683,64-10421,40-74241,70-65281999999999,87-90401999999999,75-06399,56.74406,30
940,1940-05-01,45-17228,59-56264,47-52584,35-12823,31-564329999999998,29-759840000000004,34-44212,34-31044,41-67954,31-032659999999996,45-27552,60-37268,57-46535,28.999159999999996,31
941,1940-06-01,22-40247,51-19017,38-0629,36-19804,23-315929999999998,13-506770000000001,19-20523,22-34308,27-20965,15-63827,21-55323,28-50732,24-59843,16.71167,30
942,1940-07-01,194-11105,206-45892,143-46042,124-47903000000001,97-99302,81-80131,77-33746,181-77478,144-84562,73-91631,102-1152,124-59766,80-46625999999999,143.18992,31
943,1940-08-01,45-69341,110-33652,75-86222,29-772609999999997,13-60735,10-00671,2-5223299999999997,30-26582,53-4973,2-64614,5-143269999999999,21-10022,8-39029,26.4464,31
944,1940-09-01,78-29401,109-43113000000001,143-76322,84-65146999999999,24-80082,21-947329999999997,30-051190000000002,59-44368000000001,116-2322,38-46301,49-847809999999996,82-83667,33-255320000000005,53.24844,30
945,1940-10-01,137-7095,154-74522,186-93951,132-93835,89-68578000000001,56-064280000000004,67-44221999999999,90-90978,129-47628,94-58678,114-57425,172-88096000000002,98-19919,102.08962,31
946,1940-11-01,181-07263,235-41217999999998,209-13308,138-26717,141-99059,154-2837,171-37861999999998,101-90111999999999,164-20092,194-68367,226-03965,282-5643,175-80366999999998,127.02148999999999,30
947,1940-12-01,105-6635,184-71971000000002,205-87966,138-35138999999998,49-493359999999996,43-13409,29-9561,74-19799,124-10806000000001,48-13975,88-39151,112-91441,48-11035,75.3641,31
948,1941-01-01,79-51827,57-06721999999999,30-688740000000003,66-69872,78-08525999999999,56-860380000000006,64-09732,96-37633000000001,43-23632,78-20246,108-25276000000001,107-65056000000001,91-25562,86.06877,31
949,1941-02-01,127-05523000000001,125-90861000000001,122-8394,96-87695,67-18666999999999,51-78615,49-43529,146-34601,126-60438,72-41499,112-87745,135-54502,71-34519,112.38293,28
950,1941-03-01,70-06211,60-3675,89-58331,100-85377,86-73999,78-04930999999999,76-28344,80-96824000000001,87-49539,75-85409,98-71145,103-02535999999999,68-10459,87.70784,31
951,1941-04-01,57-244209999999995,76-26057,63-917519999999996,53-18745,34-742129999999996,29-385709999999996,43-704809999999995,38-30595,44-34126,42-07216,41-2471,47-071059999999996,34-9515,44.49949,30
952,1941-05-01,81-75265999999999,60-47149,83-05425,60-34092,58-28698000000001,48-2961,44-24395,49-73773,74-07146,49-74954,59-27652,82-99155999999999,65-82265,45.52901,31
953,1941-06-01,28-38373,29-244629999999997,35-702890000000004,14-014029999999998,21-06079,22-01888,49-67994,22-79156,16-66514,45-86481,55-0796,35-86894,45-83658,13.60215,30
954,1941-07-01,87-94599000000001,113-88748999999999,105-8081,98-93736,104-25139,67-78469,90-96975,40-20203,54-98044,82-66892,50-3875,77-6304,80-58742,67.85022,31
955,1941-08-01,123-70468999999999,186-20103,168-95211,122-93773,98-04561,102-85933,117-94076000000001,90-17846999999999,149-68264,110-61936000000001,128-85861,156-75786000000002,98-01366999999999,89.38056999999999,31
956,1941-09-01,37-7308,64-35324,71-43106,35-5676,14-228,11-74686,13-8675,16-25479,34-39839,10-79492,20-80412,31-82678,20-33279,15.910129999999999,30
957,1941-10-01,136-75567,161-23451,151-28548999999998,132-79185,72-41386,55-174330000000005,20-67996,113-03538999999999,148-37156000000002,34-62404,54-079159999999995,141-04092,67-27731,103.77278000000001,31
958,1941-11-01,137-82712,155-8582,139-15968,136-3109,77-88481999999999,60-82748,65-98536999999999,85-1629,84-32114,82-74025999999999,72-54965,100-49864000000001,73-12538,86.2802,30
959,1941-12-01,68-63076,165-83219,96-1599,62-54974,22-224610000000002,31-458640000000003,48-353320000000004,21-86652,63-17252,48-1888,76-08006,110-1373,39-92545,28.283109999999997,31
960,1942-01-01,140-65805,146-93481,201-70754,180-72328000000002,68-39475,64-65873,60-7815,87-82808,131-77831,80-23052,120-94422,167-97595,83-95135,99.65463000000001,31
961,1942-02-01,57-56705,96-66081,66-84363,55-690630000000006,27-5376,24-568929999999998,20-781029999999998,56-12151,52-18737,19-4707,11-92399,33-33354,23-56309,43.05818,28
962,1942-03-01,65-62204,54-29554,104-48969,91-96778,40-06944,43-63641,50-674279999999996,40-66791,81-5801,61-84013,75-0003,104-23149000000001,52-6587,53.23263000000001,31
963,1942-04-01,59-500980000000006,61-09183,75-96113000000001,60-48968000000001,27-39353,20-21934,27-466490000000004,29-93502,57-51257,37-37271,49-59859,69-80409,35-49355,37.00908,30
964,1942-05-01,91-89453,76-67729,97-19073,100-66878,83-02128,56-4543,73-64801,48-6781,99-89683000000001,83-66986999999999,142-08754,157-02729,97-91453,80.06602,31
965,1942-06-01,38-8553,72-29901,57-703680000000006,14-044179999999999,23-5426,18-35624,14-34939,33-25737,24-925,8-651639999999999,12-58357,15-157210000000001,11-82371,30.05433,30
966,1942-07-01,79-24983,129-43848,122-1229,113-79642,61-19692,73-25366,47-153220000000005,86-50864,111-75596999999999,51-97074,59-768080000000005,114-40162,51-35245,71.16404,31
967,1942-08-01,94-6266,153-1732,167-05488,149-92146,61-484840000000005,43-51592,53-01149,73-52722,125-14464,73-8504,108-24593999999999,135-78458999999998,71-67141,77.75893,31
968,1942-09-01,115-79007,188-02088999999998,183-96895,142-4947,36-46792,41-760090000000005,35-29208,79-44645,115-59159,50-1282,75-71817,116-96852,38-80572,59.64696,30
969,1942-10-01,122-2279,239-8487,192-63691,105-27171000000001,65-13826999999999,88-03889000000001,96-69559,79-80485,146-37887,94-8946,98-13588,133-83958,61-7122,73.45664000000001,31
970,1942-11-01,25-83899,86-66156,44-79168,28-64753,51-83339,63-334309999999995,51-59605,21-243170000000003,32-442640000000004,48-73894,37-983470000000004,28-4963,28-69234,34.04357,30
971,1942-12-01,118-94162,228-47253999999998,234-19897000000003,140-67301,51-864979999999996,56-84356999999999,63-031380000000006,67-93517,143-82935,88-21262,139-90336000000002,194-53162,86-99695,67.2892,31
972,1943-01-01,132-09623,130-25412,183-58483999999999,141-24952,104-19434,100-10164,122-3833,97-61766999999999,172-75451,138-79171000000002,192-10075,227-09142999999997,132-6111,118.24378999999999,31
973,1943-02-01,85-22955,187-46993999999998,161-05523,75-35379,22-23206,19-79925,37-357279999999996,41-35566,82-3596,37-53259,51-83811,103-17499000000001,37-29987,35.049,28
974,1943-03-01,50-703340000000004,114-0984,78-01124,37-97052,19-5787,13-884,8-68065,31-90529,35-85819,13-88732,30-523640000000004,43-924490000000006,25-59166,21.42782,31
975,1943-04-01,69-45584000000001,158-16429,120-15218,69-01791,25-99026,24-437739999999998,27-94973,41-8188,70-6242,28-95703,29-18163,51-10921,27-34313,41.018240000000006,30
976,1943-05-01,116-25963999999999,102-32044,115-41676000000001,103-00757,65-75516999999999,42-34602,53-47379,92-69032,102-06733,68-56721,92-23406,127-98048,82-2543,72.69929,31
977,1943-06-01,78-92766,103-84581,121-66215,94-25541,51-95347,47-86787,36-13262,61-56491,96-75323,37-41187,50-459,107-0249,53-39545,53.03244,30
978,1943-07-01,66-90963,107-93708000000001,88-00425,64-92053,27-07775,27-54092,45-72677,50-20078,95-7957,47-26515,72-73770999999999,90-53464,37-29055,40.29124,31
979,1943-08-01,142-43413999999999,162-61973999999998,195-27718000000002,168-8112,55-0618,38-81595,32-31955,120-39156000000001,176-04288,40-90716,86-17674,138-3433,53-112390000000005,90.78371,31
980,1943-09-01,93-48274,131-54474,118-91378999999999,84-04073000000001,59-140719999999995,47-848890000000004,47-20628,84-35361999999999,137-07906,44-675290000000004,96-6401,155-05275,69-52172,99.62484,30
981,1943-10-01,152-90548,221-13054,272-172,98-18683,43-181340000000006,41-57154,64-18538000000001,79-03246,144-39947,80-61270999999999,103-67534,149-45858,61-749159999999996,55.282619999999994,31
982,1943-11-01,74-1983,159-68554,107-43048999999999,90-75085,49-57443,46-19413,33-87304,71-46438,87-69315999999999,44-33478,72-54929,112-02475,52-83817,71.31642,30
983,1943-12-01,52-97786,101-16415,100-2691,77-48340999999999,24-12987,31-80115,39-52213,37-95904,64-92003000000001,49-78091,77-00769,76-49803,33-89909,43.70836,31
984,1944-01-01,98-87589,224-2649,183-55866,117-37633999999998,66-47346999999999,42-17091,39-79788,46-885529999999996,145-04025,50-356970000000004,79-30999,162-72631,68-49586,89.61206,31
985,1944-02-01,54-2465,103-56023,62-045480000000005,38-17174,50-08617,30-583940000000002,19-94088,55-72515,55-40736,25-453120000000002,24-01352,57-13305,34-51676,54.63559,29
986,1944-03-01,28-251720000000002,98-27255,32-58153,24-14441,8-94252,9-478760000000001,2-43367,17-82401,18-39001,5-06502,8-773,21-088910000000002,10-87555,12.925310000000001,31
987,1944-04-01,72-15738,88-38767,92-81403,62-903819999999996,56-131780000000006,43-16382,35-375640000000004,51-85925,73-32001,40-40657,56-818819999999995,71-45969000000001,44-04461,69.37409,30
988,1944-05-01,85-24072,118-62025,102-06843,55-82179,35-887190000000004,26-74662,17-18705,59-196369999999995,72-99507,17-36165,26-04354,61-23007,26-326590000000003,42.976690000000005,31
989,1944-06-01,87-93018000000001,132-9434,122-21753000000001,85-47139,55-14481,41-0802,46-218990000000005,65-39381,95-29468,46-30415,72-459,82-09612,48-40847,68.42093,30
990,1944-07-01,78-38495999999999,51-319990000000004,107-8948,99-2324,58-69706,49-88884,41-19408,82-66266999999999,92-91031,59-48461999999999,78-82396999999999,90-50913,61-125240000000005,72.53378000000001,31
991,1944-08-01,75-20119,101-63741999999999,108-34893000000001,87-62467,75-53935,48-942479999999996,65-32106999999999,53-47282,99-76805,57-4514,86-26207,93-2991,70-85454,86.53763000000001,31
992,1944-09-01,121-78651,128-87548,165-6728,150-21387,94-02613000000001,81-16644000000001,69-85288,158-08954,163-3943,63-791990000000006,77-50809,142-98907,81-7043,137.2645,30
993,1944-10-01,129-0786,171-86806,174-38176,136-68212,71-99674,84-7127,82-82013,86-16207,133-22048999999998,111-9594,139-27618,192-17356999999998,92-89907,90.19035,31
994,1944-11-01,174-07095,173-94462,234-3879,150-84777,102-11542,90-65375999999999,93-6567,163-58638,203-97163,122-73601000000001,191-29713999999998,235-09186,111-68542,141.29951,30
995,1944-12-01,125-73522,172-06072,193-27136000000002,133-18841,37-81517,31-595209999999998,37-00969,64-35634,116-25906,57-254090000000005,92-71389,125-16448999999999,48-81772,73.06228,31
996,1945-01-01,136-02765,146-45617,126-56013,99-79649,54-94944,50-7989,47-00481,139-57407,105-86848,50-45373,79-37304,117-88836,50-82995,106.46243999999999,31
997,1945-02-01,118-92102,173-38093,214-45238999999998,99-35067,52-83446,39-02086,37-34567,63-094930000000005,130-43833,50-90653,84-63834,166-74883,54-748630000000006,78.8609,28
998,1945-03-01,54-57708,112-79966,106-8648,42-47052,19-29109,27-092309999999998,24-04932,21-931729999999998,61-76865,27-18355,32-94382,64-21582,25-870910000000002,23.21455,31
999,1945-04-01,47-11694,73-65841,67-95858,50-52248,37-59831,32-62802,27-60595,50-58144,63-61806,29-90418,28-023870000000002,76-59133,30-930290000000003,52.16091,30
1000,1945-05-01,132-60348,109-61833,134-32529,117-49763999999999,51-90437,56-88636999999999,63-27398,107-73043999999999,110-02232,54-79453,92-40048,108-70863,79-66136999999999,69.70308,31
1001,1945-06-01,87-22803,120-61583999999999,131-49073,117-41747,61-092259999999996,47-62935,44-1699,69-59600999999999,107-49751,55-14153,99-88931,128-59122,74-22045,79.20565,30
1002,1945-07-01,88-8543,90-00068,108-87873,113-11263000000001,50-7503,40-78261,78-35854,50-35243,79-83310999999999,78-25758,74-20031,93-02072,54-93387,47.80588,31
1003,1945-08-01,89-98252,90-71469,62-84721,45-18607,64-28846999999999,60-27855,34-868190000000006,78-48628000000001,65-65808,48-06445,61-4671,93-84161,77-92859,84.82778,31
1004,1945-09-01,125-48375,141-99108999999999,174-59231,90-10083,40-1845,51-9315,38-55395,60-12489,99-14686,51-019459999999995,71-67494,99-59923,43-34271,49.02793,30
1005,1945-10-01,144-64292,131-48556000000002,164-41743,110-71593,83-01193,55-11838,60-52605,103-50159000000001,159-47343999999998,82-75423,116-3991,145-03898999999998,101-17562,111.80986999999999,31
1006,1945-11-01,28-58636,33-29311,19-848110000000002,29-834740000000004,13-929429999999998,18-645229999999998,5-71328,23-96039,11-01453,11-70236,26-60734,23-313229999999997,10-72925,17.91498,30
1007,1945-12-01,153-8052,165-55223999999998,144-29103,112-93902,55-64527,66-83001,72-64186,45-65696,78-97166999999999,101-79048,157-48831,174-21777,86-59244,50.21555,31
1008,1946-01-01,104-32064,166-05024,210-97324,126-84998999999999,53-04221,36-30897,42-3334,54-04991,137-85348,59-515280000000004,106-39755,187-57501000000002,68-75596,79.18642,31
1009,1946-02-01,71-31378000000001,150-53916999999998,108-82218999999999,85-09884,73-845,54-661880000000004,63-90897,30-69288,122-56313,70-46943,88-33435,160-33064,75-30111,81.38531,28
1010,1946-03-01,68-03901,74-18709,91-53858000000001,44-40248,27-040770000000002,30-37612,30-630909999999997,45-366929999999996,47-50379,33-07925,41-68351,51-526,22-68556,36.43524,31
1011,1946-04-01,24-37173,89-97709,58-534259999999996,28-70979,36-23969,26-07553,46-58762,30-798820000000003,40-02543,53-8944,64-36946,46-439859999999996,46-06187,43.563790000000004,30
1012,1946-05-01,57-02032,46-61533,34-95114,32-6957,43-58191,44-28925,83-3246,53-31633000000001,44-299859999999995,83-21927,119-99253999999999,86-19379,66-29127,56.836769999999994,31
