,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1.1.19.6 Berries,182.5572319,198.4947467,197.2138534,221.3307366,245.7466583,223.8938003,191.2302856,173.9207398,521.5340292,495.0824135,500.3107742,500.1352835,468.7329769,583.4888467,647.6486296,636.0597985,603.1447564,161.5737327
"1.1.20 Other fresh, chilled or frozen fruits",75.43049234,79.45478747,68.46980196,80.1677146,82.37466459,83.00300697,65.62483935,67.25358229,163.535092,171.2820141,163.7845625,168.3791573,163.6416305,186.1773062,189.9616754,195.231505,188.6859261,48.56425536
1.1.21 Dried fruit and nuts,124.9635744,126.0552388,111.6983482,139.7895604,145.7909061,132.356551,101.7617436,90.64898432,290.3052363,263.9137578,265.344957,288.939819,315.1175636,353.7568139,347.8666356,362.6017959,331.2901167,88.29602244
1.1.22 Preserved fruit and fruit based products,53.05298658,52.21892867,47.09919816,47.1933336,40.8606239,38.4152907,28.69354805,23.73734692,72.29340846,66.83680779,65.43648805,62.22586692,57.85366768,67.34234323,71.74702171,64.09108776,58.9906972,15.77638097
1.1.23.1 Leaf and stem vegetables,237.2209608,230.6937171,213.4154633,218.6403637,216.7896822,197.8868024,165.1765492,136.4578724,415.5570873,414.8442511,398.3833392,405.1322986,397.4103076,433.7150788,440.8406431,410.0194366,388.406254,104.6711271
1.1.23.2 Cabbages,136.5669051,129.0359077,114.6577629,118.5691891,121.0190962,102.8632393,88.72101373,75.80946311,218.4627177,187.3662616,188.9714565,191.8846749,184.9840566,183.4707849,167.6305195,161.7693093,156.4529197,39.92424909
1.1.23.3 Vegetables grown for their fruit,389.4881493,381.5659388,356.7669421,362.2528105,360.4097718,330.2468562,275.8516635,244.5902009,709.4527224,679.3842782,670.9685936,667.2979244,653.5564521,693.5213278,656.9867239,616.2908825,598.4295382,161.7867425
"1.1.23.4 Root crops, non starchy bulbs and mushrooms",375.0483525,367.6008797,318.5036734,336.9186652,336.068184,305.7355542,256.5229086,242.5399713,700.5018968,635.0195189,653.9218997,626.2993059,633.8080501,691.0435005,679.191989,582.6720619,563.1848149,145.3317007
1.1.24 Dried vegetables,9.230296273,9.811028887,8.312206599,12.962533,8.916124726,8.856545074,7.113109771,8.731139317,21.44382178,17.5345105,22.73456837,21.46735831,24.32902342,18.86773963,25.9664216,28.51315521,25.27938051,5.658746215
1.1.25 Other prepared or processed vegetables,366.0711713,369.3954313,310.2340765,324.1955669,317.6255149,282.0605475,229.6253109,217.1506183,676.18933,620.8540878,612.9761715,614.9864252,610.9238524,681.6660996,682.3758576,659.5413912,660.7312333,179.6948639
1.1.26 Potatoes,324.9671361,270.7161172,242.770573,219.1884475,202.2348012,184.9922735,184.9223364,169.3141471,460.2895667,407.5166452,391.7965453,396.7004696,429.7039529,424.8300648,388.2537419,330.8256856,311.7583299,75.93016709
1.1.27 Other tubers and products of tuber vegetables,452.6333814,424.8222594,389.111234,374.5154968,348.1989191,308.7610272,253.8612447,235.1181205,708.9099538,648.5234832,689.4335871,696.0489015,696.5107962,762.0806848,753.100749,680.4072918,653.8022054,185.2774709
1.1.28.1 Sugar,319.7685397,330.0393187,302.4547803,323.0862844,332.0260881,286.3650096,253.301855,236.5750912,219.4060801,198.2898241,204.9813347,212.8484498,198.1626731,177.2338349,150.8062116,141.0384089,126.5643044,131.9045843
1.1.28.2 Other sugar products,57.99100447,64.66003633,59.78386726,97.32971644,92.44542402,80.15306586,72.93621871,74.23936418,81.4291248,79.53661594,88.53160385,94.00805144,110.8589284,108.2704872,110.3636627,109.1526238,104.6625699,122.7027991
1.1.29 Jams and marmalades,309.0022388,314.0774579,286.2523259,325.1199597,324.5551244,291.5394679,272.0016976,259.9883757,227.4345089,244.5552301,210.3366807,207.240851,191.413233,205.2836734,216.8785192,205.581064,191.5939849,191.3370157
1.1.30 Chocolate,2051.304285,1845.227711,1853.264946,2049.232174,1873.900395,1777.733635,1624.516313,1489.490821,1409.552162,1336.06406,1331.527351,1236.859439,1197.78348,1325.428015,1412.705897,1278.404967,1275.436025,1355.549997
1.1.31 Confectionery products,842.7757667,848.8430971,781.2800584,811.6662896,749.9147296,682.302836,638.1894995,578.7128665,534.011263,487.1269371,496.6679991,502.4285557,459.4116565,496.1516017,545.9595799,519.3010837,474.1281933,525.0401148
1.1.32 Edible ices and ice cream,748.0674373,730.6763361,680.6098332,662.7572044,652.5716409,644.1227571,527.0923115,491.2937983,449.6180815,412.6118736,414.4770965,412.4493434,395.7049819,409.8200362,432.0151746,419.1709955,407.9546087,504.8806518
"1.1.33.1 Sauces, condiments",1333.796627,1341.577934,1261.316473,1403.225846,1408.513269,1336.950633,1231.444367,1087.74794,1065.158084,976.8472203,935.8841421,915.0941206,882.1458081,881.1142231,878.2902639,816.3245597,745.3014955,835.7832399
"1.1.33.2 Bakers yeast, dessert preparations, soups",1022.930958,1060.039574,958.7540352,1000.774575,1043.372266,1005.184761,884.6502967,808.5296775,833.6056555,725.9337216,748.7412382,773.0819131,718.649482,677.9848249,763.9336374,682.5394954,647.4046355,700.3003289
"1.1.33.3 Salt, spices, herbs and other food products",370.3031445,298.6531306,301.9837068,415.30899,351.4653475,308.8764623,318.650446,373.2519771,274.2762774,230.327347,212.8316419,211.223245,191.1136549,199.1349002,185.4068859,207.2048766,180.9317329,228.9098092
1.2.1 Coffee,708.3100372,645.3541371,656.9631031,692.5160581,635.4796207,597.2900164,570.6795345,534.3383636,567.0560036,480.7911126,483.2334657,516.9919224,456.9783154,486.9071757,567.3296072,499.9114958,523.6631295,560.6314698
1.2.2 Tea,624.797809,617.7139379,548.9340647,575.6219681,552.9783338,506.5291287,462.6187985,401.0645325,418.6530002,381.263894,357.2822263,322.1687667,289.4523654,293.6066645,306.165214,280.7138128,245.5880195,262.4222443
1.2.3 Cocoa and powdered chocolate,136.2207672,113.4460013,116.0228531,123.5968139,130.9482008,115.7381134,104.1677979,88.94512092,83.65021362,88.58501144,78.63775987,76.98503327,75.28478943,62.73556095,70.81906101,63.64100119,58.98972559,57.54679754
1.2.4 Fruit and vegetable juices,684.777656,754.1753157,663.646954,670.1171929,795.594889,819.4846026,645.5655549,572.225233,1628.606022,1572.201557,1537.978608,1629.341934,1594.074218,1575.563708,1513.005358,1313.088498,1207.89054,315.4940049
1.2.5 Mineral or spring waters,244.500938,251.4862711,278.6022238,323.7985077,315.3064599,326.6863791,247.4161816,203.8604117,196.9467498,177.4748551,181.4855009,183.1255518,182.7900368,197.2517335,212.4171863,217.6861446,215.8172269,240.3715614
1.2.6 Soft drinks,2020.248939,1758.060532,1779.404847,1926.815798,2023.60131,1771.789711,1721.456612,1827.944091,1602.358891,1363.89656,1246.433982,1169.869607,1055.091428,1115.973784,1018.540523,899.8236947,841.2138993,854.0939802
2.1.1 Spirits and liqueurs,323.8015725,308.009704,296.8422075,267.8452226,240.7144115,246.1993766,227.4011494,219.3864342,174.4949055,180.8166439,184.061542,244.8318082,261.2430609,261.3933669,234.4131056,225.0254298,197.0099818,232.112466
2.1.2.1 Wine from grape or other fruit,642.0083407,622.9796457,610.7310075,662.04513,621.4541818,558.8601596,539.828078,543.4608967,423.6704254,393.9987484,459.1061082,524.5563876,577.1367723,491.5096253,455.1605316,425.9400136,380.2540997,439.0420566
2.1.2.2 Fortified wine,55.97962033,63.26837772,44.06728221,41.61869061,39.42682085,30.96465538,30.3015887,28.89564601,20.41503991,16.72427303,23.42578525,24.76105288,26.31769682,24.18066948,20.98429641,17.85164625,14.38720966,14.22489186
2.1.2.3 Champagne and sparkling wines,42.32139731,42.9810001,44.91361458,53.88030933,38.38336348,54.42253967,47.4587249,30.70782275,25.82556147,45.38878968,32.47068329,45.72360141,61.66688799,63.31175563,65.52728748,58.46585635,52.9161865,68.16780511
2.1.3.1 Beer and lager,642.0083407,622.9796457,610.7310075,662.04513,621.4541818,558.8601596,539.828078,543.4608967,423.6704254,393.9987484,459.1061082,524.5563876,577.1367723,491.5096253,455.1605316,425.9400136,380.2540997,439.0420566
2.1.3.2 Ciders and Perry,45.43867956,38.92441382,45.14285184,39.27100267,33.97857845,38.42100345,46.96703944,47.46390504,40.22867083,38.91050683,47.34936647,53.22105855,68.57430442,55.18064642,48.38209378,46.24093996,35.49691087,49.81601342
2.1.4 Alcopops,36.85384521,37.2406501,33.5333532,23.30150323,17.81227021,16.64119065,10.37248849,11.52631262,7.446066067,8.630332707,9.210894138,9.566285567,6.614886037,8.356541862,5.43916117,3.550667501,2.935768247,2.891977163
2.2.1 Cigarettes,966.424348,726.4667404,703.0933969,596.517818,494.8034276,558.9939885,525.4249951,451.9824181,412.6716904,382.0025271,436.6019348,367.3072328,302.2926681,265.4942272,286.7142644,240.0306907,214.2068402,234.2144877
2.2.2.1 Cigars,29.5098837,26.44985409,15.63487073,17.40235609,13.63679664,9.010745492,9.066877782,11.58801164,4.051529791,5.784067695,4.830055769,6.122172195,4.19741657,5.317416406,4.519261181,7.194682001,4.306507144,4.320588848
2.2.2.2 Other tobacco,82.2868161,67.6916205,59.74910877,60.02739526,42.38940653,52.17806377,63.96595261,59.54152804,60.81765841,62.47363222,84.94406011,64.03058481,66.06997355,60.87154862,74.05180625,67.69385321,89.00544569,97.28622731
3.1.1 Mens outer garments,3595.230442,3761.980106,3692.691868,3761.114778,3692.835922,3955.939005,3999.594118,3908.562804,3067.978068,3240.225902,2902.998923,2983.636775,2818.199048,2895.667075,2678.155778,2343.589734,2003.682999,1894.339368
3.1.2 Mens under garments,309.9419694,363.1824438,330.7234935,346.9784511,315.8705133,334.6158916,337.7877964,297.8381346,283.1988119,268.3103594,320.0363822,262.1460039,258.8745286,306.025641,328.751023,213.8718966,207.404024,193.2949963
3.1.3 Womens outer garments,5899.200295,6751.264146,6673.175614,6630.123471,7013.100456,7337.655177,7581.8528,6655.757957,6149.85922,5695.79771,5291.102503,4803.662877,4712.046999,4748.713032,4606.201782,3868.798257,3338.591726,3325.113946
3.1.4 Womens under garments,951.2562037,1074.133039,991.4606258,1090.925353,1029.131316,1186.110243,1054.550274,913.8771108,779.7895564,746.166286,735.402945,651.7237676,695.8528615,593.6571063,612.6332486,563.325008,488.4887551,476.8634083
3.1.5 Boys outer garments,655.3369236,690.6379701,670.8947882,787.9486562,663.2358277,656.1552624,651.8839922,660.5544414,519.2790791,552.6782596,493.4530235,435.8590424,504.9103392,397.8249706,501.5373903,404.708374,385.9924748,323.4473162
3.1.6 Girls outer garments,917.5438941,945.1827531,944.621809,914.4194616,838.7964819,909.0679689,889.2482821,837.7130478,742.1320664,611.227224,700.9969573,623.2155738,556.0428658,561.6598814,536.4044634,422.1725168,389.6772092,432.986658
3.1.7 Infants outer garments,456.9199431,505.6483781,528.2587193,565.3379754,588.3459463,565.507442,612.7433995,545.1384827,537.8260794,426.7112498,541.3601104,456.3619186,459.4941861,466.5312752,348.6697469,309.2628504,251.2845652,244.6900454
3.1.8 Childrens under garments,295.2270202,332.9124472,310.1131817,320.9317668,322.004386,348.8604334,292.5187653,260.1961667,286.2366824,279.1196399,252.9415686,251.8463903,245.1506448,258.9361277,219.4075515,182.4771618,159.0266806,166.2735905
3.1.9.1 Mens accessories,32.294407,26.14849168,35.57793368,43.47972925,53.3368969,56.75258108,61.21666363,59.12737171,44.98107441,60.30290999,70.87720568,81.65641589,79.79269031,67.12852047,67.97244144,58.09239508,45.44892494,50.18449884
3.1.9.2 Womens accessories,22.42411351,34.56052361,33.5039027,54.19071415,73.24619612,88.59956311,94.67508213,78.49907205,68.50873488,80.66867375,115.8363665,100.0848904,95.37699444,104.1822026,95.15965465,62.92228493,55.83415943,57.77517627
3.1.9.3 Childrens accessories,12.12023473,13.63445072,15.37230428,20.17910699,21.4363194,24.5277423,29.73658812,26.64732441,22.09898052,23.56702328,25.09084619,32.46913744,23.2657711,25.64674226,26.81004565,14.05864063,15.11604492,14.97959796
3.1.9.4 Protective head gear,4.662864039,2.008642548,4.184359522,9.848322106,2.411680205,7.424451915,13.71787696,9.77806852,5.587432011,11.23313391,12.63988579,15.03317103,23.81048572,16.91848781,8.723047242,11.4810856,9.126611859,8.131019058
"3.1.10 Haberashery, clothing materials and clothing hire",1564.412331,1377.919885,1331.065429,1895.396457,1834.033203,1986.188251,1935.420833,1978.262662,1666.732659,1700.269744,1749.769347,1846.015358,2139.602342,1948.124565,1846.823465,1591.069343,1229.760898,1371.97656
3.1.11.1 Dry cleaners and dyeing,185.9136338,170.5126816,154.3521428,133.6171434,154.8086916,138.0558379,140.4723128,143.2052355,108.1804807,104.3854643,94.53360307,106.7868785,102.9286087,91.49954031,70.9350761,66.12863093,59.06922806,50.51304772
